Bausch + Lomb PE Ratio Historical Data,Bausch + Lomb PE Ratio Historical Data,Bausch + Lomb PE Ratio Historical Data,Bausch + Lomb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.75,,0.0
2024-12-31,18.06,$-0.91,0.0
2024-09-30,19.29,$-1.05,0.0
2024-06-30,14.52,$-1.30,0.0
2024-03-31,17.3,$-0.96,0.0
2023-12-31,17.06,$-0.74,0.0
2023-09-30,16.95,$-0.59,0.0
2023-06-30,20.07,$-0.40,0.0
2023-03-31,17.41,$-0.30,0.0
