Atlantic American PE Ratio Historical Data,Atlantic American PE Ratio Historical Data,Atlantic American PE Ratio Historical Data,Atlantic American PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.44,,0.0
2024-09-30,1.7,$-0.35,0.0
2024-06-30,1.69,$-0.17,0.0
2024-03-31,2.78,$-0.05,0.0
2023-12-31,2.43,$-0.03,0.0
2023-09-30,1.91,$0.13,14.71
2023-06-30,1.89,$0.01,0.0
2023-03-31,2.4,$-0.16,0.0
2022-12-31,2.3,$0.05,45.92
2022-09-30,2.81,$0.12,23.38
2022-06-30,2.62,$0.11,23.81
2022-03-31,3.05,$0.34,8.98
2021-12-31,2.39,$0.18,13.28
2021-09-30,4.05,$0.60,6.75
2021-06-30,4.21,$0.74,5.69
2021-03-31,3.57,$0.90,3.97
2020-12-31,2.0,$0.53,3.77
2020-09-30,1.94,$0.05,38.8
2020-06-30,1.61,$-0.11,0.0
2020-03-31,2.05,$-0.63,0.0
2019-12-31,1.91,$-0.04,0.0
2019-09-30,2.69,$-0.09,0.0
2019-06-30,2.38,$0.02,118.83
2019-03-31,2.45,$0.39,6.29
2018-12-31,2.32,$-0.05,0.0
2018-09-30,2.4,$0.06,40.08
2018-06-30,2.6,$0.05,51.94
2018-03-31,3.15,$-0.03,0.0
2017-12-31,3.25,$0.20,16.25
2017-09-30,3.11,$0.14,22.19
2017-06-30,3.58,$0.11,32.59
2017-03-31,3.8,$0.05,76.07
2016-12-31,3.9,$0.11,35.44
2016-09-30,3.08,$0.05,61.62
2016-06-30,3.77,$0.06,62.76
2016-03-31,4.21,$0.20,21.07
2015-12-31,4.73,$0.19,24.87
2015-09-30,3.83,$0.25,15.3
2015-06-30,3.43,$0.30,11.43
2015-03-31,3.8,$0.19,19.99
2014-12-31,3.8,$0.19,19.99
2014-09-30,3.73,$0.19,19.64
2014-06-30,3.61,$0.25,14.44
2014-03-31,3.41,$0.47,7.26
2013-12-31,3.81,$0.48,7.94
2013-09-30,3.78,$0.46,8.21
2013-06-30,3.64,$0.38,9.57
2013-03-31,3.1,$0.15,20.7
2012-12-31,2.86,$0.18,15.91
2012-09-30,2.5,$0.18,13.87
2012-06-30,2.51,$0.21,11.93
2012-03-31,2.62,$0.18,14.58
2011-12-31,1.78,$0.13,13.71
2011-09-30,1.72,$0.15,11.46
2011-06-30,1.85,$0.10,18.54
2011-03-31,1.96,$0.10,19.63
2010-12-31,1.82,$0.09,20.22
2010-09-30,1.47,$0.05,29.4
2010-06-30,1.21,$-0.07,0.0
2010-03-31,1.33,$-0.08,0.0
2009-12-31,1.15,$-0.08,0.0
