Ouster PE Ratio Historical Data,Ouster PE Ratio Historical Data,Ouster PE Ratio Historical Data,Ouster PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.38,,0.0
2024-09-30,6.3,$-2.57,0.0
2024-06-30,9.83,$-2.92,0.0
2024-03-31,7.94,$-5.58,0.0
2023-12-31,7.67,$-11.06,0.0
2023-09-30,5.04,$-12.41,0.0
2023-06-30,4.94,$-13.52,0.0
2023-03-31,0.84,$-11.93,0.0
2022-12-31,0.86,$-7.80,0.0
2022-09-30,0.96,$-7.20,0.0
2022-06-30,1.62,$-6.00,0.0
2022-03-31,4.5,$-6.50,0.0
2021-12-31,5.2,$-8.40,0.0
2021-09-30,7.32,$-6.70,0.0
