Tile Shop Hldgs PE Ratio Historical Data,Tile Shop Hldgs PE Ratio Historical Data,Tile Shop Hldgs PE Ratio Historical Data,Tile Shop Hldgs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.51,,108.5
2024-12-31,6.93,$0.06,115.5
2024-09-30,6.59,$0.08,82.38
2024-06-30,6.93,$0.12,57.75
2024-03-31,7.03,$0.21,33.48
2023-12-31,7.36,$0.23,32.0
2023-09-30,5.49,$0.25,21.96
2023-06-30,5.54,$0.29,19.1
2023-03-31,4.69,$0.30,15.63
2022-12-31,4.38,$0.31,14.13
2022-09-30,3.52,$0.32,11.0
2022-06-30,3.07,$0.28,10.96
2022-03-31,6.55,$0.26,25.19
2021-12-31,7.13,$0.29,24.59
2021-09-30,7.06,$0.28,25.23
2021-06-30,7.41,$0.28,26.48
2021-03-31,1.34,$0.15,8.96
2020-12-31,1.34,$0.12,11.2
2020-09-30,1.34,$0.00,0.0
2020-06-30,1.34,$-0.07,0.0
2020-03-31,1.34,$-0.05,0.0
2019-12-31,1.34,$-0.09,0.0
2019-09-30,2.94,$-0.02,0.0
2019-06-30,3.62,$0.06,60.3
2019-03-31,5.12,$0.16,32.0
2018-12-31,4.92,$0.21,23.42
2018-09-30,6.42,$0.09,71.29
2018-06-30,6.87,$0.09,76.31
2018-03-31,5.31,$0.14,37.95
2017-12-31,8.43,$0.21,40.12
2017-09-30,11.08,$0.36,30.79
2017-06-30,17.96,$0.40,44.9
2017-03-31,16.7,$0.38,43.96
2016-12-31,16.92,$0.36,46.99
2016-09-30,14.32,$0.42,34.1
2016-06-30,17.2,$0.40,43.01
2016-03-31,12.9,$0.36,35.84
2015-12-31,14.19,$0.30,47.3
2015-09-30,10.37,$0.26,39.87
2015-06-30,12.28,$0.22,55.81
2015-03-31,10.48,$0.20,52.4
2014-12-31,7.68,$0.20,38.42
2014-09-30,8.0,$0.20,40.02
2014-06-30,13.23,$0.25,52.92
2014-03-31,13.37,$0.25,53.48
2013-12-31,15.64,$-0.82,0.0
2013-09-30,25.52,$-1.60,0.0
2013-06-30,25.06,$-1.41,0.0
