Titan PE Ratio Historical Data,Titan PE Ratio Historical Data,Titan PE Ratio Historical Data,Titan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.01,,0.0
2024-12-31,6.79,$-0.06,0.0
2024-09-30,8.13,$-0.12,0.0
2024-06-30,7.41,$0.44,16.84
2024-03-31,12.46,$0.89,14.0
2023-12-31,14.88,$1.25,11.9
2023-09-30,13.43,$1.95,6.89
2023-06-30,11.48,$2.32,4.95
2023-03-31,10.48,$2.90,3.61
2022-12-31,15.32,$2.77,5.53
2022-09-30,12.14,$2.55,4.76
2022-06-30,15.1,$2.05,7.37
2022-03-31,14.73,$0.95,15.51
2021-12-31,10.96,$0.80,13.7
2021-09-30,7.16,$0.08,89.5
2021-06-30,8.48,$-0.31,0.0
2021-03-31,9.28,$-0.35,0.0
2020-12-31,4.86,$-0.99,0.0
2020-09-30,2.89,$-1.12,0.0
2020-06-30,1.46,$-1.24,0.0
2020-03-31,1.55,$-1.28,0.0
2019-12-31,3.61,$-0.84,0.0
2019-09-30,2.69,$-0.65,0.0
2019-06-30,4.86,$-0.35,0.0
2019-03-31,5.93,$-0.21,0.0
2018-12-31,4.62,0,0.0
2018-09-30,7.35,$-0.33,0.0
2018-06-30,10.63,$-0.52,0.0
2018-03-31,12.48,$-0.71,0.0
2017-12-31,12.74,$-1.12,0.0
2017-09-30,10.04,$-0.83,0.0
2017-06-30,11.87,$-0.82,0.0
2017-03-31,10.22,$-0.72,0.0
2016-12-31,11.07,$-0.81,0.0
2016-09-30,9.99,$-1.62,0.0
2016-06-30,6.12,$-2.20,0.0
2016-03-31,5.3,$-2.01,0.0
2015-12-31,3.88,$-1.74,0.0
2015-09-30,6.5,$-1.66,0.0
2015-06-30,10.56,$-1.04,0.0
2015-03-31,9.2,$-1.54,0.0
2014-12-31,10.44,$-1.50,0.0
2014-09-30,11.6,$-0.80,0.0
2014-06-30,16.5,$-0.49,0.0
2014-03-31,18.63,$0.29,64.23
2013-12-31,17.63,$0.55,32.06
2013-09-30,14.35,$0.77,18.63
2013-06-30,16.52,$1.02,16.2
2013-03-31,20.63,$1.46,14.13
2012-12-31,21.25,$1.84,11.55
2012-09-30,17.27,$2.20,7.85
2012-06-30,23.97,$2.23,10.75
2012-03-31,23.1,$1.88,12.29
2011-12-31,19.0,$1.13,16.82
2011-09-30,14.64,$0.55,26.62
2011-06-30,23.66,$0.24,98.59
2011-03-31,25.94,$-0.13,0.0
2010-12-31,19.04,0,0.0
2010-09-30,13.22,$-0.47,0.0
2010-06-30,9.7,$-0.90,0.0
2010-03-31,8.49,$-0.85,0.0
2009-12-31,7.88,$-0.71,0.0
