Xperi PE Ratio Historical Data,Xperi PE Ratio Historical Data,Xperi PE Ratio Historical Data,Xperi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.03,,0.0
2024-12-31,10.27,$-0.31,0.0
2024-09-30,9.19,$-1.90,0.0
2024-06-30,8.12,$-2.49,0.0
2024-03-31,11.87,$-2.72,0.0
2023-12-31,10.79,$-3.19,0.0
2023-09-30,9.61,$-9.68,0.0
2023-06-30,12.77,$-18.26,0.0
2023-03-31,10.57,$-17.36,0.0
2022-12-31,8.29,$-16.60,0.0
2022-09-30,13.54,$-9.54,0.0
2022-06-30,13.78,0,0.0
2022-03-31,16.49,0,0.0
