INNOVATE PE Ratio Historical Data,INNOVATE PE Ratio Historical Data,INNOVATE PE Ratio Historical Data,INNOVATE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.74,,0.0
2024-09-30,3.7,$-3.58,0.0
2024-06-30,6.05,$-3.30,0.0
2024-03-31,7.01,$-5.60,0.0
2023-12-31,12.3,$-4.70,0.0
2023-09-30,16.2,$-4.40,0.0
2023-06-30,17.5,$-4.40,0.0
2023-03-31,29.7,$-4.90,0.0
2022-12-31,18.7,$-5.40,0.0
2022-09-30,7.0,$-5.20,0.0
2022-06-30,17.3,$-31.80,0.0
2022-03-31,36.9,$-33.10,0.0
2021-12-31,37.0,$-29.80,0.0
2021-09-30,41.0,$-30.20,0.0
2021-06-30,39.8,$-6.50,0.0
2021-03-31,39.4,$-0.80,0.0
2020-12-31,32.6,$-20.50,0.0
2020-09-30,24.2,$-26.00,0.0
2020-06-30,33.4,$-23.80,0.0
2020-03-31,15.5,$-25.20,0.0
2019-12-31,21.7,$-7.40,0.0
2019-09-30,23.5,$-4.40,0.0
2019-06-30,23.6,$26.90,0.88
2019-03-31,24.5,$36.50,0.67
2018-12-31,26.4,$28.80,0.92
2018-09-30,61.2,$30.30,2.02
2018-06-30,58.5,$-1.00,0.0
2018-03-31,52.6,$-16.20,0.0
2017-12-31,59.5,$-11.70,0.0
2017-09-30,52.8,$-25.80,0.0
2017-06-30,58.8,$-26.20,0.0
2017-03-31,62.0,$-21.60,0.0
2016-12-31,42.77,$-26.90,0.0
2016-09-30,39.31,$-14.80,0.0
2016-06-30,31.01,$-15.00,0.0
2016-03-31,27.55,$-20.00,0.0
2015-12-31,38.15,$-13.60,0.0
2015-09-30,50.56,$-3.30,0.0
2015-06-30,64.55,$-8.30,0.0
2015-03-31,78.97,$-5.70,0.0
2014-12-31,60.8,$-6.60,0.0
2014-09-30,33.18,$-12.80,0.0
2014-06-30,28.78,$-5.60,0.0
2014-03-31,26.32,$91.70,0.29
2013-12-31,20.55,$92.80,0.22
2013-09-30,24.45,$86.30,0.28
2013-06-30,27.46,$68.20,0.4
2013-03-31,25.42,$22.80,1.11
2012-12-31,25.0,$20.10,1.24
2012-09-30,27.63,$24.30,1.14
2012-06-30,28.17,$35.10,0.8
2012-03-31,27.32,$-19.40,0.0
2011-12-31,21.51,$-31.70,0.0
2011-09-30,18.06,$-39.80,0.0
2011-06-30,25.49,$-27.30,0.0
2011-03-31,24.79,$-35.90,0.0
2010-12-31,21.24,$-19.60,0.0
2010-09-30,12.15,$7.90,1.54
2010-06-30,11.98,$436.70,0.03
