VersaBank PE Ratio Historical Data,VersaBank PE Ratio Historical Data,VersaBank PE Ratio Historical Data,VersaBank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.33,,10.99
2025-01-31,13.84,$0.94,14.72
2024-10-31,15.0,$1.10,13.64
2024-07-31,12.12,$1.30,9.32
2024-04-30,10.05,$1.32,7.61
2024-01-31,11.28,$1.27,8.88
2023-10-31,7.65,$1.16,6.59
2023-07-31,8.88,$0.98,9.06
2023-04-30,7.35,$0.86,8.55
2023-01-31,7.8,$0.71,10.99
2022-10-31,6.94,$0.61,11.37
2022-07-31,7.42,$0.63,11.78
