Ennis PE Ratio Historical Data,Ennis PE Ratio Historical Data,Ennis PE Ratio Historical Data,Ennis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.0,,13.21
2024-11-30,21.33,$1.59,13.42
2024-08-31,21.07,$1.58,13.34
2024-05-31,18.32,$1.60,11.45
2024-02-29,17.48,$1.64,10.66
2023-11-30,18.05,$1.72,10.49
2023-08-31,17.9,$1.78,10.05
2023-05-31,16.07,$1.83,8.78
2023-02-28,17.83,$1.83,9.74
2022-11-30,18.83,$1.62,11.63
2022-08-31,17.0,$1.47,11.57
2022-05-31,14.36,$1.29,11.13
2022-02-28,14.65,$1.12,13.08
2021-11-30,14.65,$1.06,13.82
2021-08-31,14.76,$1.09,13.54
2021-05-31,15.75,$1.05,15.0
2021-02-28,14.73,$0.93,15.84
2020-11-30,12.03,$1.06,11.35
2020-08-31,13.3,$1.15,11.56
2020-05-31,12.74,$1.27,10.03
2020-02-29,14.22,$1.48,9.61
2019-11-30,14.44,$1.47,9.83
2019-08-31,13.91,$1.46,9.53
2019-05-31,12.67,$1.46,8.68
2019-02-28,14.35,$1.45,9.89
2018-11-30,13.07,$1.46,8.95
2018-08-31,14.42,$1.39,10.37
2018-05-31,11.94,$1.36,8.78
2018-02-28,12.63,$1.31,9.64
2017-11-30,13.51,$1.22,11.07
2017-08-31,12.08,$1.11,10.88
2017-05-31,10.05,$1.03,9.75
2017-02-28,10.12,$0.07,144.56
2016-11-30,9.89,$0.02,494.69
2016-08-31,10.05,$0.21,47.84
2016-05-31,10.11,$0.38,26.61
2016-02-29,10.84,$1.39,7.8
2015-11-30,10.88,$1.54,7.06
2015-08-31,8.8,$-1.63,0.0
2015-05-31,8.97,$-1.67,0.0
2015-02-28,7.35,$-1.72,0.0
2014-11-30,6.92,$-2.61,0.0
2014-08-31,7.41,$0.51,14.52
2014-05-31,7.69,$0.50,15.37
2014-02-28,7.93,$0.52,15.25
2013-11-30,9.21,$1.34,6.87
2013-08-31,8.76,$1.22,7.18
2013-05-31,8.33,$1.13,7.38
2013-02-28,7.63,$0.95,8.03
2012-11-30,7.24,$0.81,8.94
2012-08-31,6.87,$0.84,8.18
2012-05-31,6.62,$0.92,7.19
2012-02-29,7.71,$1.21,6.37
2011-11-30,6.75,$1.46,4.62
2011-08-31,7.13,$1.56,4.57
2011-05-31,8.51,$1.66,5.12
2011-02-28,7.17,$1.72,4.17
2010-11-30,7.46,$1.72,4.34
2010-08-31,6.67,$1.71,3.9
2010-05-31,7.54,$1.61,4.69
2010-02-28,6.53,$1.37,4.77
2009-11-30,6.1,$-1.45,0.0
