Predictive Oncology PE Ratio Historical Data,Predictive Oncology PE Ratio Historical Data,Predictive Oncology PE Ratio Historical Data,Predictive Oncology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.1,,0.0
2024-09-30,0.79,$-3.05,0.0
2024-06-30,1.04,$-3.35,0.0
2024-03-31,2.55,$-3.65,0.0
2023-12-31,3.29,$-3.47,0.0
2023-09-30,3.2,$-4.62,0.0
2023-06-30,4.86,$-4.84,0.0
2023-03-31,6.54,$-6.86,0.0
2022-12-31,6.13,$-7.00,0.0
2022-09-30,7.2,$-7.60,0.0
2022-06-30,8.2,$-8.20,0.0
2022-03-31,19.54,$-6.20,0.0
2021-12-31,19.04,$-7.40,0.0
2021-09-30,26.6,$-18.20,0.0
2021-06-30,26.2,$-25.80,0.0
2021-03-31,24.2,$-32.00,0.0
2020-12-31,14.65,$-48.40,0.0
2020-09-30,16.28,$-125.80,0.0
2020-06-30,32.8,$-142.80,0.0
2020-03-31,31.51,$-131.60,0.0
2019-12-31,52.2,$-155.00,0.0
2019-09-30,101.0,$-112.20,0.0
2019-06-30,149.5,$-124.00,0.0
2019-03-31,150.0,$-168.00,0.0
2018-12-31,123.82,$-156.00,0.0
2018-09-30,212.0,$-194.00,0.0
2018-06-30,226.0,$-188.00,0.0
2018-03-31,220.0,$-230.00,0.0
2017-12-31,202.0,$-242.00,0.0
2017-09-30,290.72,$-188.00,0.0
2017-06-30,294.0,$-220.00,0.0
2017-03-31,420.0,$-338.00,0.0
2016-12-31,560.0,$-896.00,0.0
2016-09-30,825.0,"$-3,314.00",0.0
2016-06-30,762.5,"$-4,650.00",0.0
