Affimed PE Ratio Historical Data,Affimed PE Ratio Historical Data,Affimed PE Ratio Historical Data,Affimed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.9,,0.0
2024-09-30,3.36,$-3.50,0.0
2024-06-30,5.45,$-4.17,0.0
2024-03-31,5.3,$-5.28,0.0
2023-12-31,6.25,$-6.20,0.0
2023-09-30,4.78,$-8.40,0.0
2023-06-30,5.98,$-7.80,0.0
2023-03-31,7.46,$-7.00,0.0
2022-12-31,12.4,$-6.30,0.0
2022-09-30,20.6,$-6.30,0.0
2022-06-30,27.7,$-6.90,0.0
2022-03-31,43.7,$-7.40,0.0
2021-12-31,55.2,$-5.70,0.0
2021-09-30,61.8,$-5.50,0.0
2021-06-30,85.0,$-4.60,0.0
2021-03-31,79.1,$-4.50,0.0
2020-12-31,58.2,$-5.80,0.0
2020-09-30,33.9,$-5.90,0.0
2020-06-30,46.15,$-7.00,0.0
2020-03-31,15.8,$-6.80,0.0
2019-12-31,27.4,$-5.30,0.0
2019-09-30,29.4,$-1.50,0.0
2019-06-30,28.7,$-1.80,0.0
2019-03-31,42.0,$-1.80,0.0
2018-12-31,31.1,$-3.90,0.0
2018-09-30,43.5,$-7.20,0.0
2018-06-30,16.5,$-7.10,0.0
2018-03-31,18.5,$-7.50,0.0
2017-12-31,13.0,$-7.70,0.0
2017-09-30,22.5,$-7.80,0.0
2017-06-30,20.5,$-9.20,0.0
2017-03-31,23.0,$-9.90,0.0
2016-12-31,18.0,$-10.70,0.0
2016-09-30,27.8,$-11.10,0.0
2016-06-30,24.8,$-10.30,0.0
2016-03-31,37.4,$-9.70,0.0
2015-12-31,71.2,$-7.60,0.0
2015-09-30,61.7,$-7.90,0.0
2015-06-30,134.7,$21.70,6.21
