Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.09,,10.51
2024-11-30,84.21,$4.48,18.8
2024-08-31,66.56,$4.75,14.01
2024-05-31,64.48,$4.87,13.24
2024-02-29,56.57,$4.51,12.54
2023-11-30,44.39,$4.71,9.42
2023-08-31,49.38,$4.55,10.85
2023-05-31,35.94,$4.71,7.63
2023-02-28,44.29,$4.66,9.5
2022-11-30,46.46,$3.08,15.08
2022-08-31,39.12,$2.45,15.97
2022-05-31,39.62,$0.69,57.42
2022-02-28,42.7,$0.11,388.17
2021-11-30,38.93,$-0.87,0.0
2021-08-31,40.32,$0.11,366.55
2021-05-31,35.47,$0.86,41.25
2021-02-28,34.71,$0.55,63.11
2020-11-30,24.22,$2.65,9.14
2020-08-31,19.18,$1.80,10.66
2020-05-31,18.77,$1.85,10.14
2020-02-29,27.14,$2.32,11.7
2019-11-30,34.17,$1.42,24.06
2019-08-31,32.85,$1.63,20.15
2019-05-31,32.11,$1.63,19.7
2019-02-28,31.47,$1.59,19.8
2018-11-30,31.98,$2.82,11.34
2018-08-31,43.01,$2.86,15.04
2018-05-31,38.02,$2.74,13.88
2018-02-28,37.44,$2.76,13.56
2017-11-30,43.27,$2.78,15.56
2017-08-31,37.68,$2.74,13.75
2017-05-31,45.82,$2.91,15.75
2017-02-28,49.05,$2.96,16.57
2016-11-30,40.81,$2.85,14.32
2016-08-31,41.29,$2.70,15.29
2016-05-31,38.47,$2.43,15.83
2016-02-29,33.87,$2.23,15.19
2015-11-30,42.46,$2.01,21.13
2015-08-31,44.0,$1.85,23.78
2015-05-31,45.24,$1.92,23.56
2015-02-28,38.53,$1.72,22.4
2014-11-30,37.91,$1.52,24.94
2014-08-31,30.53,$1.38,22.12
2014-05-31,25.1,$1.02,24.6
2014-02-28,28.44,$0.95,29.94
2013-11-30,29.67,$0.83,35.75
2013-08-31,23.04,$0.78,29.54
2013-05-31,21.96,$0.75,29.28
2013-02-28,21.16,$0.67,31.58
2012-11-30,18.74,$0.63,29.74
2012-08-31,12.86,$0.55,23.38
2012-05-31,11.96,$0.31,38.59
2012-02-29,10.68,$0.17,62.82
2011-11-30,8.48,$-0.10,0.0
2011-08-31,7.45,$-0.38,0.0
2011-05-31,10.44,$-0.32,0.0
2011-02-28,10.72,$-0.37,0.0
2010-11-30,8.79,$-0.19,0.0
2010-08-31,6.97,$0.28,24.91
2010-05-31,10.48,$0.75,13.98
2010-02-28,10.91,$1.15,9.48
2009-11-30,10.39,$1.53,6.79
