Huize Holding PE Ratio Historical Data,Huize Holding PE Ratio Historical Data,Huize Holding PE Ratio Historical Data,Huize Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.21,,35.67
2024-09-30,3.84,$0.09,42.71
2024-06-30,5.05,$0.35,14.43
2024-03-31,2.93,$0.85,3.44
2023-12-31,4.5,$1.00,4.5
2023-09-30,5.45,$0.75,7.27
2023-06-30,6.75,$0.30,22.5
2023-03-31,6.37,$-0.50,0.0
2022-12-31,6.9,$-0.60,0.0
2022-09-30,4.24,$-0.90,0.0
2022-06-30,6.2,$-1.95,0.0
2022-03-31,6.5,$-2.50,0.0
2021-12-31,7.15,$-2.25,0.0
2021-09-30,11.4,$-2.35,0.0
2021-06-30,29.8,$-0.95,0.0
2021-03-31,41.85,$0.20,209.25
2020-12-31,35.0,$-0.35,0.0
