Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.36,,10.39
2024-12-31,13.85,$1.19,11.64
2024-09-30,15.11,$1.35,11.2
2024-06-30,13.5,$1.45,9.31
2024-03-31,12.09,$1.61,7.51
2023-12-31,13.41,$1.76,7.62
2023-09-30,12.95,$1.77,7.32
2023-06-30,12.32,$1.72,7.16
2023-03-31,9.25,$1.72,5.38
2022-12-31,10.03,$1.66,6.04
2022-09-30,8.5,$1.88,4.52
2022-06-30,9.46,$2.03,4.66
2022-03-31,12.03,$2.13,5.65
2021-12-31,12.65,$2.28,5.55
2021-09-30,12.56,$2.37,5.3
2021-06-30,11.85,$2.58,4.59
2021-03-31,10.38,$2.47,4.2
2020-12-31,9.07,$1.38,6.57
2020-09-30,7.16,$0.92,7.78
2020-06-30,5.61,$0.55,10.21
2020-03-31,2.88,$0.46,6.27
2019-12-31,8.25,$1.26,6.54
2019-09-30,7.39,$1.39,5.31
2019-06-30,6.67,$1.40,4.76
2019-03-31,6.98,$1.34,5.21
2018-12-31,5.31,$1.50,3.54
2018-09-30,5.84,$1.38,4.23
2018-06-30,5.19,$1.28,4.05
2018-03-31,4.27,$1.24,3.45
2017-12-31,4.09,$1.12,3.65
2017-09-30,3.79,$1.17,3.24
2017-06-30,3.77,$1.12,3.37
2017-03-31,3.71,$1.11,3.34
2016-12-31,3.23,$0.83,3.89
2016-09-30,3.14,$0.53,5.93
2016-06-30,2.98,$0.62,4.81
2016-03-31,2.75,$0.63,4.36
2015-12-31,2.84,$0.91,3.12
2015-09-30,2.47,$0.91,2.71
2015-06-30,2.56,$1.87,1.37
2015-03-31,2.59,$1.89,1.37
2014-12-31,2.46,$1.71,1.44
2014-09-30,2.41,$1.68,1.43
2014-06-30,2.44,$0.50,4.87
2014-03-31,2.38,$0.34,7.01
2013-12-31,2.25,$0.41,5.49
2013-09-30,2.25,$0.33,6.81
2013-06-30,2.05,$0.32,6.39
2013-03-31,2.51,$0.87,2.89
2012-12-31,1.89,$0.85,2.22
2012-09-30,1.84,$-0.29,0.0
2012-06-30,1.62,$-0.46,0.0
2012-03-31,1.68,$-1.49,0.0
2011-12-31,1.06,$-1.65,0.0
2011-09-30,1.13,$-2.12,0.0
2011-06-30,1.4,$-2.08,0.0
2011-03-31,1.7,$3.38,0.5
2010-12-31,1.79,$4.41,0.41
2010-09-30,1.51,$0.76,1.99
2010-06-30,1.54,$-0.92,0.0
2010-03-31,0.97,$-7.89,0.0
2009-12-31,0.6,$-9.10,0.0
