Reading Inc PE Ratio Historical Data,Reading Inc PE Ratio Historical Data,Reading Inc PE Ratio Historical Data,Reading Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.47,,0.0
2024-09-30,1.63,$-1.88,0.0
2024-06-30,1.42,$-1.77,0.0
2024-03-31,1.84,$-1.47,0.0
2023-12-31,1.91,$-1.38,0.0
2023-09-30,2.12,$-1.42,0.0
2023-06-30,2.65,$-1.45,0.0
2023-03-31,3.25,$-1.44,0.0
2022-12-31,2.77,$-1.64,0.0
2022-09-30,3.29,$-1.02,0.0
2022-06-30,3.61,$-1.25,0.0
2022-03-31,4.28,$-0.13,0.0
2021-12-31,4.04,$1.43,2.83
2021-09-30,5.06,$0.61,8.3
2021-06-30,6.97,$0.19,36.68
2021-03-31,5.55,$-1.86,0.0
2020-12-31,5.02,$-2.99,0.0
2020-09-30,3.22,$-3.44,0.0
2020-06-30,4.25,$-2.52,0.0
2020-03-31,3.89,$-1.38,0.0
2019-12-31,11.19,$-1.20,0.0
2019-09-30,11.96,$0.26,46.0
2019-06-30,12.98,$0.28,46.36
2019-03-31,15.96,$0.40,39.9
2018-12-31,14.54,$0.62,23.45
2018-09-30,15.8,$0.73,21.64
2018-06-30,15.95,$0.74,21.55
2018-03-31,16.65,$1.33,12.52
2017-12-31,16.7,$1.33,12.56
2017-09-30,15.72,$1.03,15.26
2017-06-30,16.13,$1.12,14.4
2017-03-31,15.54,$0.44,35.32
2016-12-31,16.6,$0.40,41.5
2016-09-30,13.35,$0.52,25.67
2016-06-30,12.49,$0.38,32.87
2016-03-31,11.98,$0.93,12.88
2015-12-31,13.11,$0.97,13.52
2015-09-30,12.67,$1.55,8.17
2015-06-30,13.85,$1.70,8.15
2015-03-31,13.45,$1.22,11.02
2014-12-31,13.26,$1.08,12.28
2014-09-30,8.4,$0.49,17.14
2014-06-30,8.53,$0.42,20.31
2014-03-31,7.33,$0.40,18.33
2013-12-31,7.49,$0.38,19.71
2013-09-30,6.57,$0.19,34.58
2013-06-30,6.36,$0.11,57.82
2013-03-31,5.6,$-0.06,0.0
2012-12-31,6.01,$-0.04,0.0
2012-09-30,5.9,$-0.20,0.0
2012-06-30,5.41,$-0.22,0.0
2012-03-31,4.66,$0.53,8.79
2011-12-31,4.24,$0.43,9.86
2011-09-30,4.3,$0.63,6.83
2011-06-30,4.55,$0.68,6.69
2011-03-31,5.05,$-0.68,0.0
2010-12-31,5.05,$-0.55,0.0
2010-09-30,4.52,$-0.69,0.0
2010-06-30,3.97,$-0.60,0.0
2010-03-31,4.27,$0.44,9.7
2009-12-31,4.05,$0.27,15.0
