Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.2,,18.59
2024-09-30,26.13,$1.84,14.2
2024-03-31,22.74,$3.09,7.36
2023-03-31,20.68,$3.13,6.61
