Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,601.61,,30.22
2024-12-31,529.8,$19.91,26.61
2024-09-30,600.43,$19.79,30.34
2024-06-30,541.62,$19.72,27.47
2024-03-31,640.79,$18.58,34.49
2023-12-31,583.32,$17.92,32.55
2023-09-30,518.08,$16.15,32.08
2023-06-30,539.56,$15.00,35.97
2023-03-31,535.28,$15.89,33.69
2022-12-31,507.72,$16.53,30.72
2022-09-30,433.91,$17.21,25.21
2022-06-30,466.18,$17.98,25.93
2022-03-31,502.72,$17.09,29.42
2021-12-31,524.65,$16.88,31.08
2021-09-30,460.93,$19.03,24.22
2021-06-30,469.86,$18.62,25.23
2021-03-31,455.01,$20.12,22.61
2020-12-31,526.63,$19.49,27.02
2020-09-30,474.63,$16.49,28.78
2020-06-30,445.4,$15.91,27.99
2020-03-31,427.46,$13.98,30.58
2019-12-31,433.11,$13.30,32.56
2019-09-30,411.4,$12.60,32.65
2019-06-30,355.25,$12.10,29.36
2019-03-31,314.82,$12.29,25.62
2018-12-31,278.38,$12.25,22.72
2018-09-30,313.76,$12.24,25.63
2018-06-30,315.65,$11.31,27.91
2018-03-31,267.41,$6.69,39.97
2017-12-31,237.91,$5.81,40.95
2017-09-30,197.56,$4.50,43.9
2017-06-30,199.7,$3.99,50.05
2017-03-31,178.14,$6.82,26.12
2016-12-31,156.19,$6.49,24.07
2016-09-30,137.1,$6.27,21.87
2016-06-30,132.23,$6.30,20.99
2016-03-31,131.16,$6.37,20.59
2015-12-31,144.79,$6.32,22.91
2015-09-30,128.8,$6.31,20.41
2015-06-30,126.3,$6.05,20.88
2015-03-31,114.83,$5.86,19.6
2014-12-31,101.43,$5.58,18.18
2014-09-30,98.57,$5.15,19.14
2014-06-30,89.58,$4.70,19.06
2014-03-31,85.31,$4.11,20.76
2013-12-31,72.9,$4.16,17.52
2013-09-30,67.85,$4.28,15.85
2013-06-30,68.54,$4.41,15.54
2013-03-31,75.49,$4.74,15.93
2012-12-31,64.59,$4.63,13.95
2012-09-30,65.06,$4.54,14.33
2012-06-30,56.59,$4.51,12.55
2012-03-31,58.52,$4.35,13.45
2011-12-31,47.69,$4.13,11.55
2011-09-30,51.04,$3.80,13.43
2011-06-30,60.67,$3.67,16.53
2011-03-31,61.55,$3.55,17.34
2010-12-31,58.56,$3.55,16.5
2010-09-30,52.41,$3.35,15.64
2010-06-30,50.13,$3.28,15.28
2010-03-31,49.79,$3.22,15.46
2009-12-31,43.82,$3.23,13.57
