Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.2,,29.29
2024-12-31,10.32,$0.28,36.86
2024-09-30,11.05,$0.27,40.91
2024-06-30,9.32,$0.26,35.84
2024-03-31,10.03,$0.30,33.42
2023-12-31,9.56,$0.31,30.83
2023-09-30,7.9,$0.33,23.94
2023-06-30,7.33,$0.29,25.28
2023-03-31,6.32,$0.33,19.15
2022-12-31,6.53,$0.22,29.68
2022-09-30,6.32,$0.12,52.69
2022-06-30,6.74,$0.05,134.85
2022-03-31,9.37,$-0.12,0.0
2021-12-31,8.46,$-0.07,0.0
2021-09-30,9.5,$-0.05,0.0
2021-06-30,11.32,$-0.06,0.0
2021-03-31,10.47,$-0.14,0.0
2020-12-31,8.77,$-0.10,0.0
2020-09-30,5.76,$-0.01,0.0
2020-06-30,6.59,$0.13,50.66
2020-03-31,8.3,$0.24,34.6
2019-12-31,12.8,$0.25,51.21
2019-09-30,12.99,$0.29,44.79
2019-06-30,13.38,$0.30,44.61
2019-03-31,14.18,$0.36,39.38
2018-12-31,12.69,$0.39,32.53
2018-09-30,14.71,$0.37,39.75
2018-06-30,15.05,$0.39,38.59
2018-03-31,14.69,$0.39,37.65
2017-12-31,17.85,$0.39,45.76
2017-09-30,17.76,$0.39,45.55
2017-06-30,17.87,$0.39,45.83
2017-03-31,17.67,$0.38,46.51
2016-12-31,17.2,$0.38,45.26
2016-09-30,17.75,$0.34,52.22
2016-06-30,16.01,$0.32,50.04
2016-03-31,14.7,$0.33,44.55
2015-12-31,15.08,$0.30,50.25
2015-09-30,14.14,$0.27,52.37
2015-06-30,14.09,$0.26,54.21
2015-03-31,15.47,$0.26,59.48
2014-12-31,14.38,$0.28,51.37
2014-09-30,12.23,$0.24,50.96
