Barinthus Biotherapeutics PE Ratio Historical Data,Barinthus Biotherapeutics PE Ratio Historical Data,Barinthus Biotherapeutics PE Ratio Historical Data,Barinthus Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.01,,0.0
2024-09-30,1.19,$-1.49,0.0
2024-06-30,1.4,$-1.65,0.0
2024-03-31,2.38,$-1.84,0.0
2023-12-31,3.69,$-1.92,0.0
2023-09-30,3.09,$-2.02,0.0
2023-06-30,2.06,$-1.43,0.0
2023-03-31,2.24,$-0.40,0.0
2022-12-31,2.35,$0.15,15.67
2022-09-30,3.2,$0.32,10.0
2022-06-30,4.45,$-0.03,0.0
2022-03-31,5.2,$-1.08,0.0
