Ranger Energy Services PE Ratio Historical Data,Ranger Energy Services PE Ratio Historical Data,Ranger Energy Services PE Ratio Historical Data,Ranger Energy Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.5,,17.68
2024-12-31,15.48,$0.82,18.88
2024-09-30,11.87,$0.66,17.99
2024-06-30,10.44,$0.65,16.06
2024-03-31,11.15,$0.68,16.4
2023-12-31,10.06,$0.96,10.48
2023-09-30,13.88,$1.17,11.86
2023-06-30,9.98,$1.33,7.5
2023-03-31,9.93,$1.07,9.28
2022-12-31,10.73,$0.51,21.04
2022-09-30,9.53,$1.20,7.94
2022-06-30,9.88,$0.15,65.88
2022-03-31,9.99,$-0.42,0.0
2021-12-31,10.01,$-0.65,0.0
2021-09-30,8.97,$-2.07,0.0
2021-06-30,7.8,$-1.94,0.0
2021-03-31,5.34,$-1.93,0.0
2020-12-31,3.55,$-1.24,0.0
2020-09-30,2.54,$-0.82,0.0
2020-06-30,2.88,$-0.50,0.0
2020-03-31,3.96,$0.19,20.83
2019-12-31,6.28,$0.25,25.11
2019-09-30,6.29,$0.37,16.99
2019-06-30,7.85,$0.66,11.89
2019-03-31,7.77,$0.47,16.53
2018-12-31,5.04,$-0.42,0.0
2018-09-30,8.17,$-0.89,0.0
2018-06-30,8.94,$-1.54,0.0
