Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.67,,39.65
2024-12-31,90.46,$2.06,43.91
2024-09-30,98.14,$2.05,47.87
2024-06-30,90.8,$2.02,44.95
2024-03-31,94.89,$2.01,47.21
2023-12-31,77.27,$1.90,40.67
2023-09-30,63.65,$1.87,34.04
2023-06-30,65.27,$1.72,37.95
2023-03-31,58.08,$1.62,35.85
2022-12-31,52.14,$1.48,35.23
2022-09-30,43.15,$1.66,26.0
2022-06-30,41.96,$1.60,26.23
2022-03-31,50.18,$1.81,27.73
2021-12-31,61.64,$1.35,45.66
2021-09-30,50.21,$1.00,50.21
2021-06-30,48.61,$0.77,63.13
2021-03-31,49.01,$-0.21,0.0
2020-12-31,45.37,$-0.13,0.0
2020-09-30,35.46,$-0.37,0.0
2020-06-30,28.01,$-0.24,0.0
2020-03-31,24.7,$0.40,61.75
2019-12-31,36.53,$0.76,48.07
2019-09-30,28.18,$1.09,25.85
2019-06-30,34.46,$1.24,27.79
2019-03-31,27.7,$1.32,20.98
2018-12-31,20.37,$1.29,15.79
2018-09-30,28.22,$1.53,18.45
2018-06-30,29.27,$1.31,22.34
2018-03-31,30.56,$0.19,160.82
