Seer PE Ratio Historical Data,Seer PE Ratio Historical Data,Seer PE Ratio Historical Data,Seer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.9,,0.0
2024-12-31,2.31,$-1.39,0.0
2024-09-30,1.97,$-1.30,0.0
2024-06-30,1.68,$-1.28,0.0
2024-03-31,1.9,$-1.30,0.0
2023-12-31,1.94,$-1.36,0.0
2023-09-30,2.21,$-1.44,0.0
2023-06-30,4.27,$-1.49,0.0
2023-03-31,3.86,$-1.49,0.0
2022-12-31,5.8,$-1.49,0.0
2022-09-30,7.74,$-1.45,0.0
2022-06-30,8.95,$-1.37,0.0
2022-03-31,15.24,$-1.27,0.0
2021-12-31,22.81,$-1.16,0.0
2021-09-30,34.53,$-1.38,0.0
