Freightcar America PE Ratio Historical Data,Freightcar America PE Ratio Historical Data,Freightcar America PE Ratio Historical Data,Freightcar America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.43,,0.0
2024-12-31,8.96,$-2.99,0.0
2024-09-30,10.79,$-4.24,0.0
2024-06-30,3.49,$-0.70,0.0
2024-03-31,3.85,$-1.54,0.0
2023-12-31,2.7,$-1.19,0.0
2023-09-30,2.67,$-1.32,0.0
2023-06-30,2.98,$-1.98,0.0
2023-03-31,3.12,$-0.67,0.0
2022-12-31,3.2,$-1.59,0.0
2022-09-30,3.73,$-1.16,0.0
2022-06-30,3.64,$-0.44,0.0
2022-03-31,5.91,$-1.15,0.0
2021-12-31,3.69,$-1.96,0.0
2021-09-30,4.53,$-2.89,0.0
2021-06-30,5.93,$-5.95,0.0
2021-03-31,6.6,$-6.79,0.0
2020-12-31,2.41,$-6.16,0.0
2020-09-30,2.28,$-6.04,0.0
2020-06-30,1.24,$-5.84,0.0
2020-03-31,0.93,$-6.13,0.0
2019-12-31,2.07,$-5.96,0.0
2019-09-30,4.85,$-7.27,0.0
2019-06-30,5.87,$-4.94,0.0
2019-03-31,6.16,$-3.87,0.0
2018-12-31,6.69,$-3.26,0.0
2018-09-30,16.07,$-2.10,0.0
2018-06-30,16.79,$-2.54,0.0
2018-03-31,13.4,$-2.39,0.0
2017-12-31,17.08,$-1.83,0.0
2017-09-30,19.56,$-0.92,0.0
2017-06-30,17.3,$0.02,865.25
2017-03-31,12.4,$0.02,620.25
2016-12-31,14.69,$1.00,14.69
2016-09-30,14.06,$1.93,7.29
2016-06-30,13.66,$3.13,4.36
2016-03-31,15.05,$3.77,3.99
2015-12-31,18.68,$2.57,7.27
2015-09-30,16.43,$2.02,8.13
2015-06-30,19.91,$1.35,14.75
2015-03-31,29.86,$0.88,33.93
2014-12-31,24.92,$0.47,53.01
2014-09-30,31.48,$-0.95,0.0
2014-06-30,23.62,$-1.56,0.0
2014-03-31,21.87,$-1.98,0.0
2013-12-31,24.98,$-1.62,0.0
2013-09-30,19.35,$-0.67,0.0
2013-06-30,15.85,$-0.19,0.0
2013-03-31,20.29,$0.56,36.23
2012-12-31,20.79,$1.59,13.07
2012-09-30,16.44,$2.38,6.91
2012-06-30,21.17,$1.78,11.89
2012-03-31,20.66,$1.34,15.42
2011-12-31,19.21,$0.42,45.73
2011-09-30,13.21,$-0.58,0.0
2011-06-30,23.23,$-0.77,0.0
2011-03-31,29.8,$-0.90,0.0
2010-12-31,26.53,$-1.07,0.0
2010-09-30,22.55,$-1.25,0.0
2010-06-30,20.74,$-0.77,0.0
2010-03-31,22.15,$-0.07,0.0
2009-12-31,18.12,$0.43,42.15
