Torrid Holdings PE Ratio Historical Data,Torrid Holdings PE Ratio Historical Data,Torrid Holdings PE Ratio Historical Data,Torrid Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.53,,36.87
2024-10-31,3.63,$0.15,24.2
2024-07-31,8.3,$0.13,63.85
2024-04-30,5.07,$0.11,46.09
2024-01-31,5.16,$0.10,51.6
2023-10-31,2.33,$0.10,23.3
2023-07-31,2.72,$0.20,13.6
2023-04-30,3.42,$0.36,9.5
2023-01-31,3.72,$0.48,7.75
2022-10-31,4.93,$0.31,15.9
2022-07-31,4.06,$-0.30,0.0
2022-04-30,5.86,$-0.17,0.0
