Sierra Bancorp PE Ratio Historical Data,Sierra Bancorp PE Ratio Historical Data,Sierra Bancorp PE Ratio Historical Data,Sierra Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.04,,10.33
2024-12-31,28.92,$2.81,10.29
2024-09-30,28.64,$2.52,11.36
2024-06-30,22.01,$2.46,8.95
2024-03-31,19.65,$2.42,8.12
2023-12-31,21.7,$2.36,9.2
2023-09-30,18.01,$2.40,7.51
2023-06-30,15.95,$2.38,6.7
2023-03-31,15.96,$2.32,6.88
2022-12-31,19.48,$2.23,8.73
2022-09-30,17.92,$2.39,7.5
2022-06-30,19.52,$2.42,8.07
2022-03-31,22.2,$2.57,8.64
2021-12-31,23.92,$2.80,8.54
2021-09-30,21.21,$2.75,7.71
2021-06-30,22.03,$2.73,8.07
2021-03-31,23.02,$2.51,9.17
2020-12-31,20.36,$2.30,8.85
2020-09-30,14.15,$2.32,6.1
2020-06-30,15.73,$2.23,7.05
2020-03-31,14.51,$2.26,6.42
2019-12-31,23.86,$2.33,10.24
2019-09-30,21.62,$2.24,9.65
2019-06-30,21.91,$2.12,10.34
2019-03-31,19.5,$2.07,9.42
2018-12-31,19.16,$1.93,9.93
2018-09-30,22.9,$1.68,13.63
2018-06-30,22.26,$1.63,13.66
2018-03-31,20.88,$1.48,14.11
2017-12-31,20.69,$1.36,15.22
2017-09-30,21.04,$1.50,14.03
2017-06-30,18.93,$1.37,13.82
2017-03-31,21.04,$1.31,16.06
2016-12-31,20.29,$1.29,15.73
2016-09-30,14.22,$1.29,11.02
2016-06-30,12.56,$1.34,9.37
2016-03-31,13.56,$1.36,9.97
2015-12-31,13.1,$1.33,9.85
2015-09-30,11.76,$1.19,9.89
2015-06-30,12.67,$1.11,11.42
2015-03-31,12.15,$1.08,11.25
2014-12-31,12.7,$1.07,11.87
2014-09-30,12.06,$1.08,11.17
2014-06-30,11.3,$1.06,10.66
2014-03-31,11.33,$1.03,11.0
2013-12-31,11.4,$0.93,12.26
2013-09-30,11.1,$0.81,13.71
2013-06-30,10.4,$0.70,14.86
2013-03-31,9.2,$0.61,15.08
2012-12-31,7.96,$0.58,13.72
2012-09-30,8.49,$0.54,15.72
2012-06-30,6.82,$0.60,11.36
2012-03-31,6.72,$0.58,11.59
2011-12-31,5.98,$0.56,10.68
2011-09-30,6.18,$0.57,10.84
2011-06-30,7.61,$0.47,16.19
2011-03-31,7.47,$0.53,14.1
2010-12-31,7.13,$0.62,11.5
2010-09-30,8.16,$0.80,10.2
2010-06-30,7.56,$0.73,10.36
2010-03-31,8.44,$0.78,10.82
2009-12-31,4.97,$0.86,5.77
