Camtek PE Ratio Historical Data,Camtek PE Ratio Historical Data,Camtek PE Ratio Historical Data,Camtek PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.82,,38.75
2024-12-31,80.77,$1.75,46.15
2024-09-30,79.85,$2.17,36.8
2024-06-30,125.24,$1.96,63.9
2024-03-31,82.43,$1.77,46.57
2023-12-31,68.27,$1.62,42.14
2023-09-30,61.27,$1.65,37.13
2023-06-30,35.06,$1.62,21.64
2023-03-31,27.9,$1.64,17.01
2022-12-31,21.61,$1.67,12.94
2022-09-30,22.8,$1.50,15.2
2022-06-30,24.46,$1.48,16.53
2022-03-31,29.97,$1.43,20.96
2021-12-31,45.3,$1.34,33.81
2021-09-30,39.86,$1.24,32.15
2021-06-30,37.11,$0.98,37.86
2021-03-31,29.42,$0.76,38.71
2020-12-31,21.56,$0.53,40.68
2020-09-30,15.13,$0.47,32.2
2020-06-30,12.38,$0.43,28.79
2020-03-31,8.29,$0.49,16.91
2019-12-31,10.66,$0.58,18.37
2019-09-30,9.23,$0.62,14.89
2019-06-30,8.15,$0.65,12.54
2019-03-31,8.61,$0.58,14.84
2018-12-31,6.53,$0.52,12.56
2018-09-30,8.27,$0.44,18.8
2018-06-30,7.09,$0.62,11.44
2018-03-31,6.41,$0.39,16.42
2017-12-31,5.43,$0.38,14.28
2017-09-30,4.75,$0.37,12.84
2017-06-30,4.48,$0.08,56.03
2017-03-31,3.54,$0.23,15.37
2016-12-31,3.05,$0.14,21.81
2016-09-30,2.79,$-0.27,0.0
2016-06-30,1.95,$-0.27,0.0
2016-03-31,1.84,$-0.29,0.0
2015-12-31,2.01,$-0.29,0.0
2015-09-30,2.39,$0.05,47.89
2015-06-30,2.55,$0.04,63.8
2015-03-31,2.96,$0.09,32.89
2014-12-31,2.79,$0.11,25.39
2014-09-30,3.65,$0.13,28.06
2014-06-30,2.96,$0.11,26.91
2014-03-31,3.42,$0.05,68.49
2013-12-31,3.76,$0.00,0.0
2013-09-30,1.58,$-0.13,0.0
2013-06-30,2.23,$-0.05,0.0
2013-03-31,1.34,$0.02,66.82
2012-12-31,1.3,0,0.0
2012-09-30,1.63,$0.05,32.67
2012-06-30,2.1,$0.06,35.03
2012-03-31,2.32,$0.05,46.4
2011-12-31,1.62,$0.18,9.02
2011-09-30,1.67,$0.28,5.97
2011-06-30,3.06,$0.26,11.78
2011-03-31,3.71,$0.21,17.65
2010-12-31,2.64,$0.10,26.36
2010-09-30,2.33,$-0.08,0.0
2010-06-30,2.26,$-0.16,0.0
2010-03-31,2.82,$-0.25,0.0
2009-12-31,2.32,$-0.41,0.0
