Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.5,,34.38
2024-12-31,73.88,$1.76,41.98
2024-09-30,67.89,$0.53,128.1
2024-06-30,55.79,$0.15,371.9
2024-03-31,55.06,$-0.19,0.0
2023-12-31,53.86,$-0.36,0.0
2023-09-30,42.69,0,0.0
2023-06-30,42.36,$0.53,79.92
2023-03-31,35.3,$1.26,28.02
2022-12-31,34.78,$2.15,16.18
2022-09-30,30.24,$3.28,9.22
2022-06-30,34.73,$4.67,7.44
2022-03-31,40.86,$5.28,7.74
2021-12-31,53.75,$5.34,10.06
2021-09-30,51.08,$5.90,8.66
2021-06-30,46.5,$4.68,9.93
2021-03-31,42.82,$3.41,12.56
2020-12-31,36.12,$2.85,12.67
2020-09-30,25.68,$1.26,20.38
2020-06-30,22.59,$1.45,15.58
2020-03-31,20.19,$2.09,9.66
2019-12-31,22.17,$1.90,11.67
2019-09-30,22.5,$2.24,10.04
2019-06-30,23.59,$2.12,11.13
2019-03-31,27.7,$2.30,12.04
2018-12-31,22.03,$2.80,7.87
2018-09-30,34.72,$1.36,25.53
2018-06-30,36.01,$1.23,29.27
2018-03-31,30.95,$1.08,28.65
2017-12-31,28.45,$0.79,36.02
2017-09-30,25.04,$2.09,11.98
2017-06-30,22.39,$2.00,11.2
2017-03-31,21.41,$1.72,12.45
2016-12-31,18.67,$1.57,11.89
2016-09-30,14.13,$1.49,9.48
2016-06-30,11.68,$1.57,7.44
2016-03-31,14.49,$1.62,8.95
2015-12-31,14.34,$1.56,9.19
2015-09-30,12.77,$1.58,8.08
2015-06-30,13.82,$1.51,9.15
2015-03-31,14.4,$-0.08,0.0
