Mesa Laboratories PE Ratio Historical Data,Mesa Laboratories PE Ratio Historical Data,Mesa Laboratories PE Ratio Historical Data,Mesa Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,123.5,,0.0
2024-12-31,131.87,$-46.26,0.0
2024-09-30,129.68,$-45.56,0.0
2024-06-30,86.55,$-46.42,0.0
2024-03-31,109.27,$-47.14,0.0
2023-12-31,104.17,$0.17,612.78
2023-09-30,104.28,$-0.14,0.0
2023-06-30,127.39,$0.33,386.03
2023-03-31,173.01,$0.16,1081.33
2022-12-31,164.43,$-0.29,0.0
2022-09-30,139.18,$-0.76,0.0
2022-06-30,201.37,$-0.30,0.0
2022-03-31,251.48,$0.35,718.53
2021-12-31,323.52,$1.43,226.24
2021-09-30,297.99,$0.93,320.42
2021-06-30,267.1,$0.74,360.94
2021-03-31,239.69,$0.58,413.25
2020-12-31,281.99,$-0.53,0.0
2020-09-30,250.48,$-0.70,0.0
2020-06-30,213.02,$-0.50,0.0
2020-03-31,222.01,$0.41,541.48
2019-12-31,244.74,$1.12,218.52
2019-09-30,233.17,$2.39,97.56
2019-06-30,239.43,$1.93,124.06
2019-03-31,225.73,$1.86,121.36
2018-12-31,203.94,$2.60,78.44
2018-09-30,181.65,$-0.54,0.0
2018-06-30,206.4,$-0.19,0.0
2018-03-31,145.01,$-0.86,0.0
2017-12-31,121.28,$-1.00,0.0
2017-09-30,145.52,$2.77,52.53
2017-06-30,139.5,$2.79,50.0
2017-03-31,119.31,$2.91,41.0
2016-12-31,119.21,$3.03,39.34
2016-09-30,110.92,$2.82,39.33
2016-06-30,119.13,$2.67,44.62
2016-03-31,93.17,$2.79,33.39
2015-12-31,96.05,$2.34,41.05
2015-09-30,107.37,$2.37,45.31
2015-06-30,85.56,$2.74,31.23
2015-03-31,69.37,$2.62,26.48
2014-12-31,74.12,$2.96,25.04
2014-09-30,55.27,$2.78,19.88
2014-06-30,80.15,$2.48,32.32
2014-03-31,85.99,$2.49,34.53
2013-12-31,74.74,$2.25,33.22
2013-09-30,64.19,$2.21,29.04
2013-06-30,51.28,$2.31,22.2
2013-03-31,49.86,$2.38,20.95
2012-12-31,47.22,$2.29,20.62
2012-09-30,45.46,$2.42,18.78
2012-06-30,43.56,$2.37,18.38
2012-03-31,46.09,$2.27,20.3
2011-12-31,38.63,$2.29,16.87
2011-09-30,32.84,$2.10,15.64
2011-06-30,29.25,$1.94,15.08
2011-03-31,26.56,$1.85,14.36
2010-12-31,27.55,$1.61,17.11
2010-09-30,21.03,$1.58,13.31
2010-06-30,21.87,$1.53,14.29
2010-03-31,23.5,$1.44,16.32
2009-12-31,23.29,$1.41,16.52
