Ardmore Shipping PE Ratio Historical Data,Ardmore Shipping PE Ratio Historical Data,Ardmore Shipping PE Ratio Historical Data,Ardmore Shipping PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.44,,3.41
2024-12-31,12.15,$3.06,3.97
2024-09-30,17.81,$3.57,4.99
2024-06-30,21.73,$3.51,6.19
2024-03-31,15.84,$2.61,6.07
2023-12-31,13.42,$2.73,4.91
2023-09-30,12.24,$3.38,3.62
2023-06-30,11.45,$4.41,2.6
2023-03-31,13.4,$4.65,2.88
2022-12-31,12.67,$3.38,3.75
2022-09-30,8.03,$1.85,4.34
2022-06-30,6.13,$-0.04,0.0
2022-03-31,3.96,$-1.09,0.0
2021-12-31,2.97,$-1.12,0.0
2021-09-30,3.65,$-1.46,0.0
2021-06-30,3.71,$-1.29,0.0
2021-03-31,3.99,$-0.64,0.0
2020-12-31,2.88,$-0.18,0.0
2020-09-30,3.13,$0.47,6.66
2020-06-30,3.82,$0.50,7.63
2020-03-31,4.62,$-0.21,0.0
2019-12-31,7.89,$-0.69,0.0
2019-09-30,5.83,$-1.26,0.0
2019-06-30,7.11,$-1.46,0.0
2019-03-31,5.37,$-1.42,0.0
2018-12-31,4.07,$-1.30,0.0
2018-09-30,5.67,$-0.91,0.0
2018-06-30,7.15,$-0.68,0.0
2018-03-31,6.63,$-0.48,0.0
2017-12-31,6.98,$-0.38,0.0
2017-09-30,7.19,$-0.37,0.0
2017-06-30,7.11,$-0.37,0.0
2017-03-31,7.02,$-0.13,0.0
2016-12-31,6.45,$0.19,33.96
2016-09-30,6.14,$0.51,12.04
2016-06-30,5.82,$1.17,4.98
2016-03-31,7.14,$1.29,5.53
2015-12-31,10.57,$1.23,8.59
2015-09-30,9.8,$1.09,8.99
2015-06-30,9.75,$0.57,17.11
2015-03-31,8.05,$0.27,29.8
2014-12-31,9.48,$0.05,189.61
2014-09-30,8.55,$-0.11,0.0
2014-06-30,10.76,$-0.16,0.0
