Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.1,,8.27
2025-01-31,37.61,$3.64,10.33
2024-10-31,28.2,$4.10,6.88
2024-07-31,36.31,$4.13,8.79
2024-04-30,44.87,$3.88,11.57
2024-01-31,41.97,$3.85,10.9
2023-10-31,28.98,$3.19,9.08
2023-07-31,36.02,$3.07,11.73
2023-04-30,33.93,$3.16,10.74
2023-01-31,44.26,$3.45,12.83
2022-10-31,31.95,$3.84,8.32
2022-07-31,33.85,$3.77,8.98
2022-04-30,50.12,$4.59,10.92
2022-01-31,52.93,$4.92,10.76
2021-10-31,65.09,$5.67,11.48
2021-07-31,75.27,$6.51,11.56
2021-04-30,61.81,$4.99,12.39
2021-01-31,38.23,$2.95,12.96
2020-10-31,30.02,$-0.78,0.0
2020-07-31,22.89,$-2.86,0.0
2020-04-30,11.15,$-2.54,0.0
2020-01-31,21.45,$-1.33,0.0
2019-10-31,15.51,$1.31,11.84
2019-07-31,23.26,$2.06,11.29
2019-04-30,22.68,$2.28,9.95
2019-01-31,24.35,$2.31,10.54
2018-10-31,27.79,$2.70,10.29
2018-07-31,26.59,$3.16,8.41
2018-04-30,28.8,$3.28,8.78
2018-01-31,40.81,$3.44,11.86
2017-10-31,34.64,$3.29,10.53
2017-07-31,36.75,$3.41,10.78
2017-04-30,41.35,$3.80,10.88
2017-01-31,46.67,$3.99,11.7
2016-10-31,55.46,$3.96,14.01
2016-07-31,56.32,$4.09,13.77
2016-04-30,59.15,$3.90,15.17
2016-01-31,70.4,$4.22,16.68
2015-10-31,69.9,$3.96,17.65
2015-07-31,58.43,$3.85,15.18
2015-04-30,64.31,$3.80,16.92
2015-01-31,59.27,$3.49,16.98
2014-10-31,50.29,$3.25,15.47
2014-07-31,40.2,$3.12,12.89
2014-04-30,37.37,$3.10,12.06
2014-01-31,35.22,$3.05,11.55
2013-10-31,41.73,$2.79,14.96
2013-07-31,36.98,$2.73,13.55
2013-04-30,33.24,$2.61,12.73
2013-01-31,31.45,$2.54,12.38
2012-10-31,29.38,$2.32,12.66
2012-07-31,28.43,$2.38,11.94
2012-04-30,29.54,$2.62,11.28
2012-01-31,24.75,$2.71,9.13
2011-10-31,23.95,$2.90,8.26
2011-07-31,21.11,$2.77,7.62
2011-04-30,22.2,$2.58,8.61
2011-01-31,15.67,$2.42,6.48
2010-10-31,14.33,$2.14,6.7
2010-07-31,12.43,$2.01,6.18
2010-04-30,12.92,$1.70,7.6
2010-01-31,8.75,$1.37,6.39
2009-10-31,8.02,$0.34,23.6
