Brown Forman PE Ratio Historical Data,Brown Forman PE Ratio Historical Data,Brown Forman PE Ratio Historical Data,Brown Forman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.26,,16.39
2025-01-31,33.32,$2.09,15.94
2024-10-31,43.58,$2.12,20.56
2024-07-31,45.59,$2.07,22.02
2024-04-30,49.07,$2.14,22.93
2024-01-31,56.37,$2.01,28.04
2023-10-31,57.42,$1.62,35.44
2023-07-31,71.91,$1.59,45.23
2023-04-30,65.88,$1.63,40.42
2023-01-31,66.5,$1.51,44.04
2022-10-31,68.77,$1.84,37.38
2022-07-31,72.4,$1.86,38.92
2022-04-30,62.42,$1.74,35.87
2022-01-31,62.64,$1.68,37.29
2021-10-31,64.03,$1.59,40.27
2021-07-31,66.89,$1.60,41.81
2021-04-30,71.18,$1.87,38.06
2021-01-31,65.78,$1.89,34.81
2020-10-31,62.28,$1.92,32.44
2020-07-31,62.61,$2.01,31.15
2020-04-30,56.0,$1.73,32.37
2020-01-31,63.26,$1.79,35.34
2019-10-31,61.01,$1.78,34.27
2019-07-31,52.23,$1.71,30.55
2019-04-30,51.03,$1.73,29.5
2019-01-31,45.74,$1.63,28.06
2018-10-31,44.94,$1.55,28.99
2018-07-31,51.47,$1.53,33.73
2018-04-30,51.42,$1.48,34.65
2018-01-31,52.05,$1.55,33.58
2017-10-31,43.12,$1.54,28.07
2017-07-31,38.64,$1.44,26.83
2017-04-30,35.91,$1.36,26.4
2017-01-31,34.83,$2.10,16.55
2016-10-31,35.97,$2.10,17.09
2016-07-31,39.05,$2.09,18.67
2016-04-30,38.21,$2.10,18.16
2016-01-31,39.03,$1.33,29.39
2015-10-31,42.02,$1.30,32.32
2015-07-31,43.62,$1.30,33.56
2015-04-30,33.61,$1.28,26.26
2015-01-31,32.18,$1.26,25.46
2014-10-31,32.86,$1.24,26.42
2014-07-31,31.07,$1.24,25.05
2014-04-30,32.02,$1.22,26.16
2014-01-31,27.58,$1.18,23.29
2013-10-31,25.71,$1.15,22.39
2013-07-31,26.23,$1.08,24.2
2013-04-30,24.99,$1.10,22.8
2013-01-31,23.15,$1.08,21.38
2012-10-31,20.22,$1.04,19.47
2012-07-31,19.91,$1.01,19.72
2012-04-30,18.42,$0.95,19.41
2012-01-31,17.23,$1.06,16.32
2011-10-31,15.73,$1.06,14.78
2011-07-31,15.32,$1.05,14.55
2011-04-30,14.99,$1.04,14.41
2011-01-31,14.14,$0.87,16.27
2010-10-31,12.7,$0.81,15.71
2010-07-31,13.32,$0.79,16.82
2010-04-30,12.41,$0.81,15.41
2010-01-31,10.98,$0.82,13.46
2009-10-31,10.47,$0.84,12.5
