Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.07,,19.73
2024-12-31,86.16,$4.21,20.47
2024-09-30,95.62,$8.11,11.79
2024-06-30,88.96,$7.37,12.07
2024-03-31,101.36,$7.30,13.88
2023-12-31,90.12,$5.98,15.07
2023-09-30,91.14,$0.08,1139.25
2023-06-30,103.88,$-0.16,0.0
2023-03-31,109.83,$-2.14,0.0
2022-12-31,80.93,$-3.71,0.0
2022-09-30,61.86,$-5.54,0.0
2022-06-30,55.92,$-5.72,0.0
2022-03-31,78.25,$-5.73,0.0
2021-12-31,83.46,$-6.67,0.0
2021-09-30,83.17,$-7.66,0.0
2021-06-30,120.02,$-13.31,0.0
2021-03-31,123.03,$-18.13,0.0
2020-12-31,110.73,$-19.37,0.0
2020-09-30,70.47,$-17.52,0.0
2020-06-30,73.1,$-10.45,0.0
2020-03-31,59.07,$-3.60,0.0
2019-12-31,135.1,$1.15,117.48
2019-09-30,104.88,$6.24,16.81
2019-06-30,118.46,$7.71,15.36
2019-03-31,113.06,$8.27,13.67
2018-12-31,93.16,$5.30,17.58
2018-09-30,118.79,$5.66,20.99
2018-06-30,155.6,$5.00,31.12
2018-03-31,168.91,$4.29,39.37
2017-12-31,155.68,$7.27,21.41
2017-09-30,137.06,$3.62,37.86
2017-06-30,122.97,$2.67,46.06
2017-03-31,104.66,$2.63,39.79
2016-12-31,78.6,$2.38,33.03
2016-09-30,88.01,$2.12,41.51
2016-06-30,81.47,$3.02,26.98
2016-03-31,83.52,$2.89,28.9
2015-12-31,61.45,$1.71,35.94
2015-09-30,46.84,$1.92,24.39
2015-06-30,86.58,$3.07,28.2
2015-03-31,109.97,$4.51,24.38
2014-12-31,128.68,$7.17,17.95
2014-09-30,159.58,$8.20,19.46
2014-06-30,175.95,$8.11,21.7
2014-03-31,187.18,$7.39,25.33
2013-12-31,162.73,$7.17,22.7
2013-09-30,129.23,$6.17,20.95
2013-06-30,103.92,$5.49,18.93
2013-03-31,100.91,$5.58,18.08
2012-12-31,89.96,$4.81,18.7
2012-09-30,86.14,$5.23,16.47
2012-06-30,76.99,$5.13,15.01
2012-03-31,92.24,$4.73,19.5
2011-12-31,81.25,$4.89,16.62
2011-09-30,80.7,$4.28,18.86
2011-06-30,100.36,$3.00,33.45
2011-03-31,88.6,$2.45,36.17
2010-12-31,72.36,$1.28,56.53
2010-09-30,56.1,$0.33,170.01
2010-06-30,49.18,$0.88,55.89
2010-03-31,48.75,$0.67,72.76
2009-12-31,37.43,$0.15,249.56
