Hingham Institution For Savings PE Ratio Historical Data,Hingham Institution For Savings PE Ratio Historical Data,Hingham Institution For Savings PE Ratio Historical Data,Hingham Institution For Savings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,237.0,,22.44
2024-09-30,242.7,$10.56,22.98
2024-06-30,177.96,$9.40,18.93
2024-03-31,172.95,$11.28,15.33
2023-12-31,192.72,$12.02,16.03
2023-09-30,183.78,$14.57,12.61
2023-06-30,209.19,$17.84,11.73
2023-03-31,228.33,$15.53,14.7
2022-12-31,269.92,$17.04,15.84
2022-09-30,243.89,$19.16,12.73
2022-06-30,275.05,$20.75,13.26
2022-03-31,332.07,$28.58,11.62
2021-12-31,406.27,$30.65,13.26
2021-09-30,324.3,$30.87,10.51
2021-06-30,279.33,$31.47,8.88
2021-03-31,272.38,$29.69,9.17
2020-12-31,207.34,$23.24,8.92
2020-09-30,175.24,$20.66,8.48
2020-06-30,159.37,$17.84,8.93
2020-03-31,137.3,$14.33,9.58
2019-12-31,198.07,$17.83,11.11
2019-09-30,177.71,$14.76,12.04
2019-06-30,185.83,$14.67,12.67
2019-03-31,161.06,$14.32,11.25
2018-12-31,184.38,$13.90,13.26
2018-09-30,204.62,$14.83,13.8
2018-06-30,204.18,$13.75,14.85
2018-03-31,191.13,$13.08,14.61
2017-12-31,191.42,$11.83,16.18
2017-09-30,175.64,$11.69,15.03
2017-06-30,167.64,$10.99,15.25
2017-03-31,162.66,$10.75,15.13
2016-12-31,180.42,$10.40,17.35
2016-09-30,126.69,$9.94,12.75
2016-06-30,112.16,$9.94,11.28
2016-03-31,108.41,$9.03,12.01
2015-12-31,108.51,$8.66,12.53
2015-09-30,104.82,$8.32,12.6
2015-06-30,103.73,$8.15,12.73
2015-03-31,88.96,$8.15,10.92
2014-12-31,77.02,$10.44,7.38
2014-09-30,71.94,$9.96,7.22
2014-06-30,69.81,$9.46,7.38
2014-03-31,68.75,$9.18,7.49
2013-12-31,68.26,$6.29,10.85
2013-09-30,60.56,$6.23,9.72
2013-06-30,58.58,$6.19,9.46
2013-03-31,59.93,$6.23,9.62
2012-12-31,53.39,$6.24,8.56
2012-09-30,54.74,$6.12,8.94
2012-06-30,51.15,$6.02,8.5
2012-03-31,47.54,$5.84,8.14
2011-12-31,39.84,$5.68,7.01
2011-09-30,39.53,$5.49,7.2
2011-06-30,43.68,$5.35,8.16
2011-03-31,42.31,$5.09,8.31
2010-12-31,36.15,$4.82,7.5
2010-09-30,30.37,$4.62,6.57
2010-06-30,29.62,$4.33,6.84
2010-03-31,27.62,$4.14,6.67
2009-12-31,24.12,$3.79,6.36
