BuzzFeed PE Ratio Historical Data,BuzzFeed PE Ratio Historical Data,BuzzFeed PE Ratio Historical Data,BuzzFeed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.26,,0.0
2024-12-31,2.67,$-1.13,0.0
2024-09-30,2.67,$-1.45,0.0
2024-06-30,2.76,$-1.86,0.0
2024-03-31,0.47,$-2.46,0.0
2023-12-31,0.25,$-2.52,0.0
2023-09-30,0.38,$-5.20,0.0
2023-06-30,0.51,$-5.60,0.0
2023-03-31,1.13,$-5.48,0.0
2022-12-31,0.69,$-5.76,0.0
2022-09-30,1.56,$-2.76,0.0
2022-06-30,1.54,$-2.00,0.0
2022-03-31,5.26,$-1.32,0.0
2021-12-31,5.33,0,0.0
