Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,96.98,,53.88
2024-12-31,97.55,$1.80,54.19
2024-09-30,118.75,$1.64,72.41
2024-06-30,115.7,$0.81,142.84
2024-03-31,126.11,$1.07,117.86
2023-12-31,122.8,$0.54,227.4
2023-09-30,96.02,$1.39,69.08
2023-06-30,107.52,$3.37,31.9
2023-03-31,117.69,$4.53,25.98
2022-12-31,135.19,$3.13,43.19
2022-09-30,129.03,$3.29,39.22
2022-06-30,132.36,$1.85,71.55
2022-03-31,182.18,$2.79,65.3
2021-12-31,200.69,$3.79,52.95
2021-09-30,171.1,$6.58,26.0
2021-06-30,161.99,$6.54,24.77
2021-03-31,145.39,$5.75,25.29
2020-12-31,156.68,$5.85,26.78
2020-09-30,139.79,$4.33,32.28
2020-06-30,140.83,$3.26,43.2
2020-03-31,118.19,$2.12,55.75
2019-12-31,138.35,$3.09,44.77
2019-09-30,131.04,$1.05,124.8
2019-06-30,119.25,$3.47,34.37
2019-03-31,119.64,$3.30,36.25
2018-12-31,96.06,$3.51,27.37
2018-09-30,103.97,$4.19,24.81
2018-06-30,103.5,$2.76,37.5
2018-03-31,101.7,$2.60,39.12
2017-12-31,105.57,$1.57,67.24
2017-09-30,95.52,$0.88,108.55
2017-06-30,96.02,$0.40,240.06
2017-03-31,87.47,$-1.67,0.0
2016-12-31,87.29,$-2.01,0.0
2016-09-30,84.79,$-1.21,0.0
2016-06-30,80.13,$-0.82,0.0
2016-03-31,69.79,$1.34,52.08
2015-12-31,68.78,$1.64,41.94
2015-09-30,63.91,$0.92,69.47
2015-06-30,65.43,$0.85,76.98
2015-03-31,72.71,$0.80,90.89
2014-12-31,65.32,$1.01,64.67
2014-09-30,53.84,$1.75,30.77
2014-06-30,56.14,$1.71,32.83
2014-03-31,51.98,$1.70,30.57
2013-12-31,45.13,$1.60,28.21
2013-09-30,44.81,$1.42,31.56
2013-06-30,45.65,$1.24,36.81
2013-03-31,48.8,$1.15,42.44
2012-12-31,47.26,$1.09,43.36
2012-09-30,49.72,$1.20,41.43
2012-06-30,48.83,$1.43,34.14
2012-03-31,48.74,$1.58,30.85
2011-12-31,45.66,$1.72,26.55
2011-09-30,40.35,$2.80,14.41
2011-06-30,50.5,$2.85,17.72
2011-03-31,50.56,$1.96,25.8
2010-12-31,47.23,$1.99,23.73
2010-09-30,44.85,$0.96,46.72
2010-06-30,40.4,$0.98,41.22
2010-03-31,42.86,$2.25,19.05
2009-12-31,40.55,$2.79,14.54
