Titan Pharmaceuticals PE Ratio Historical Data,Titan Pharmaceuticals PE Ratio Historical Data,Titan Pharmaceuticals PE Ratio Historical Data,Titan Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.65,,0.0
2024-09-30,5.27,$-4.36,0.0
2024-06-30,5.57,$-3.93,0.0
2024-03-31,7.16,$-3.84,0.0
2023-12-31,8.25,$-4.80,0.0
2023-09-30,9.48,$-8.20,0.0
2023-06-30,12.92,$-11.40,0.0
2023-03-31,16.6,$-12.80,0.0
2022-12-31,15.66,$-15.40,0.0
2022-09-30,21.6,$-17.20,0.0
2022-06-30,11.18,$-17.40,0.0
2022-03-31,19.13,$-17.20,0.0
2021-12-31,20.4,$-18.00,0.0
2021-09-30,37.4,$-12.80,0.0
2021-06-30,52.0,$-39.03,0.0
2021-03-31,59.6,$-65.66,0.0
2020-12-31,65.8,$-102.10,0.0
2020-09-30,99.24,$-150.15,0.0
2020-06-30,183.72,$-228.23,0.0
2020-03-31,139.8,$-426.43,0.0
2019-12-31,116.46,$-588.59,0.0
2019-09-30,161.4,$-912.91,0.0
2019-06-30,768.0,"$-1,201.12",0.0
2019-03-31,1068.0,"$-1,117.01",0.0
2018-12-31,802.8,"$-1,345.15",0.0
2018-09-30,745.56,"$-1,585.27",0.0
2018-06-30,3924.0,"$-1,909.53",0.0
2018-03-31,3780.0,"$-2,377.90",0.0
2017-12-31,4770.0,"$-2,522.02",0.0
2017-09-30,6300.0,"$-2,449.96",0.0
2017-06-30,6840.0,"$-2,161.73",0.0
2017-03-31,11880.0,$432.35,27.48
2016-12-31,14400.0,$684.55,21.04
2016-09-30,21168.0,$828.66,25.54
