Herbalife PE Ratio Historical Data,Herbalife PE Ratio Historical Data,Herbalife PE Ratio Historical Data,Herbalife PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.99,,3.21
2024-12-31,6.69,$2.49,2.69
2024-09-30,7.19,$0.85,8.46
2024-06-30,10.39,$0.82,12.67
2024-03-31,10.05,$1.37,7.34
2023-12-31,15.26,$1.42,10.75
2023-09-30,13.99,$1.87,7.48
2023-06-30,13.24,$2.27,5.83
2023-03-31,16.1,$2.55,6.31
2022-12-31,14.88,$3.22,4.62
2022-09-30,19.89,$3.04,6.54
2022-06-30,20.45,$3.30,6.2
2022-03-31,30.36,$3.73,8.14
2021-12-31,40.93,$4.10,9.98
2021-09-30,42.38,$4.32,9.81
2021-06-30,52.73,$4.27,12.35
2021-03-31,44.36,$3.78,11.74
2020-12-31,48.05,$2.77,17.35
2020-09-30,46.65,$2.58,18.08
2020-06-30,44.98,$2.12,21.22
2020-03-31,29.16,$1.84,15.85
2019-12-31,47.67,$2.18,21.87
2019-09-30,37.86,$2.12,17.86
2019-06-30,42.76,$2.03,21.06
2019-03-31,52.99,$2.11,25.11
2018-12-31,58.95,$1.99,29.62
2018-09-30,54.55,$1.22,44.9
2018-06-30,53.72,$1.06,50.92
2018-03-31,48.74,$1.24,39.3
2017-12-31,33.86,$1.19,28.45
2017-09-30,33.92,$2.21,15.38
2017-06-30,35.67,$2.38,14.99
2017-03-31,29.07,$1.44,20.26
2016-12-31,24.07,$1.51,15.99
2016-09-30,31.0,$1.42,21.9
2016-06-30,29.27,$1.46,20.11
2016-03-31,30.78,$2.08,14.8
2015-12-31,26.81,$1.98,13.54
2015-09-30,27.25,$2.10,13.01
2015-06-30,27.55,$1.62,17.06
2015-03-31,21.38,$1.79,11.98
2014-12-31,18.85,$1.70,11.12
2014-09-30,21.88,$1.67,13.14
2014-06-30,32.27,$2.26,14.28
2014-03-31,28.64,$2.28,12.59
2013-12-31,39.17,$2.46,15.96
2013-09-30,34.56,$2.41,14.37
2013-06-30,22.26,$2.27,9.83
2013-03-31,18.34,$2.15,8.55
2012-12-31,16.01,$2.04,7.87
2012-09-30,22.89,$1.94,11.8
2012-06-30,23.2,$1.86,12.51
2012-03-31,32.82,$1.75,18.81
2011-12-31,24.53,$1.66,14.8
2011-09-30,25.36,$1.56,16.31
2011-06-30,27.17,$1.43,19.07
2011-03-31,19.1,$1.32,14.53
2010-12-31,16.0,$1.17,13.68
2010-09-30,14.07,$1.06,13.24
2010-06-30,10.69,$0.99,10.85
2010-03-31,10.66,$0.85,12.58
2009-12-31,9.33,$0.81,11.56
