"Corporacion Inmobiliaria Vesta, S.A.B De C.V PE Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V PE Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V PE Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.68,,10.12
2024-12-31,25.6,$2.34,10.94
2024-09-30,26.94,$4.42,6.1
2024-06-30,29.99,$4.87,6.16
2024-03-31,39.24,$5.02,7.82
