Cantaloupe PE Ratio Historical Data,Cantaloupe PE Ratio Historical Data,Cantaloupe PE Ratio Historical Data,Cantaloupe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.65,,38.25
2024-12-31,9.51,$0.20,47.55
2024-09-30,7.4,$0.17,43.53
2024-06-30,6.6,$0.15,44.0
2024-03-31,6.43,$0.16,40.19
2023-12-31,7.41,$0.19,39.0
2023-09-30,6.25,$0.14,44.64
2023-06-30,7.96,$-0.01,0.0
2023-03-31,5.7,$-0.08,0.0
2022-12-31,4.35,$-0.14,0.0
2022-09-30,3.48,$-0.14,0.0
2022-06-30,5.6,$-0.03,0.0
2022-03-31,6.77,$0.04,169.25
2021-12-31,8.88,$-0.02,0.0
2021-09-30,10.78,$-0.05,0.0
2021-06-30,11.86,$-0.14,0.0
2021-03-31,11.72,$-0.36,0.0
2020-12-31,10.48,$-0.48,0.0
2020-09-30,4.36,$-0.57,0.0
2020-06-30,4.36,$-0.68,0.0
2020-03-31,4.36,$-0.50,0.0
2019-12-31,4.36,$-0.35,0.0
2019-09-30,4.36,$-0.22,0.0
2019-06-30,7.43,0,0.0
2019-03-31,4.15,0,0.0
2018-12-31,3.89,$0.02,194.5
2018-09-30,7.2,$-0.22,0.0
2018-06-30,14.0,$-0.23,0.0
2018-03-31,9.0,$-0.22,0.0
2017-12-31,9.75,$-0.24,0.0
2017-09-30,6.25,$0.01,625.0
2017-06-30,5.2,$-0.05,0.0
2017-03-31,4.25,$-0.08,0.0
2016-12-31,4.3,$-0.24,0.0
2016-09-30,5.61,$-0.27,0.0
2016-06-30,4.27,$-0.21,0.0
2016-03-31,4.36,$-0.20,0.0
2015-12-31,3.08,$-0.07,0.0
2015-09-30,2.49,$-0.06,0.0
2015-06-30,2.7,$-0.06,0.0
2015-03-31,2.75,$-0.05,0.0
2014-12-31,1.61,$0.73,2.21
2014-09-30,1.8,$0.75,2.4
2014-06-30,2.11,$0.76,2.78
2014-03-31,2.07,$0.81,2.56
2013-12-31,1.81,$0.02,90.5
2013-09-30,1.61,$0.01,161.0
2013-06-30,1.74,0,0.0
2013-03-31,2.62,$-0.14,0.0
2012-12-31,1.74,$-0.13,0.0
2012-09-30,1.26,$-0.19,0.0
2012-06-30,1.45,$-0.19,0.0
2012-03-31,1.28,$-0.16,0.0
2011-12-31,1.12,$-0.24,0.0
2011-09-30,1.2,$-0.19,0.0
2011-06-30,2.22,$-0.27,0.0
2011-03-31,2.48,$-0.29,0.0
2010-12-31,1.03,$-0.30,0.0
2010-09-30,1.21,$-0.48,0.0
2010-06-30,0.5,$-0.56,0.0
2010-03-31,1.07,$-0.67,0.0
2009-12-31,1.62,$-0.81,0.0
