Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,77.21,,17.12
2024-12-31,76.9,$4.51,17.05
2024-09-30,76.88,$4.52,17.01
2024-06-30,67.47,$4.39,15.37
2024-03-31,72.4,$4.16,17.4
2023-12-31,74.32,$4.20,17.7
2023-09-30,66.38,$4.11,16.15
2023-06-30,63.7,$4.29,14.85
2023-03-31,59.19,$4.49,13.18
2022-12-31,55.31,$4.42,12.51
2022-09-30,55.3,$4.50,12.29
2022-06-30,64.73,$4.31,15.02
2022-03-31,85.67,$4.17,20.54
2021-12-31,84.5,$4.05,20.86
2021-09-30,70.47,$3.54,19.91
2021-06-30,65.56,$3.15,20.81
2021-03-31,73.7,$2.85,25.86
2020-12-31,77.07,$2.57,29.99
2020-09-30,65.09,$2.70,24.11
2020-06-30,53.1,$2.96,17.94
2020-03-31,43.24,$3.19,13.56
2019-12-31,57.53,$3.29,17.49
2019-09-30,55.73,$3.69,15.1
2019-06-30,58.43,$3.61,16.18
2019-03-31,66.56,$3.49,19.07
2018-12-31,58.16,$3.60,16.16
2018-09-30,70.48,$2.45,28.77
2018-06-30,71.97,$2.47,29.14
2018-03-31,73.15,$2.49,29.38
2017-12-31,64.38,$2.53,25.45
2017-09-30,65.62,$3.24,20.25
2017-06-30,59.94,$3.13,19.15
2017-03-31,53.6,$2.74,19.56
2016-12-31,50.46,$2.54,19.87
2016-09-30,42.97,$2.55,16.85
2016-06-30,51.55,$2.47,20.87
2016-03-31,56.47,$2.74,20.61
2015-12-31,54.05,$2.64,20.48
2015-09-30,56.36,$2.54,22.19
2015-06-30,55.02,$2.47,22.27
2015-03-31,56.19,$2.40,23.41
2014-12-31,47.43,$2.35,20.18
2014-09-30,40.32,$2.29,17.61
2014-06-30,44.05,$2.24,19.71
2014-03-31,45.57,$2.12,21.5
2013-12-31,45.47,$2.02,22.57
2013-09-30,36.98,$1.95,19.01
2013-06-30,28.21,$1.88,15.04
2013-03-31,34.5,$1.79,19.28
2012-12-31,33.27,$1.72,19.34
2012-09-30,31.47,$1.65,19.07
2012-06-30,27.02,$1.56,17.32
2012-03-31,34.65,$1.49,23.33
2011-12-31,28.96,$1.43,20.32
2011-09-30,28.23,$1.37,20.68
2011-06-30,33.03,$1.33,24.83
2011-03-31,36.65,$1.28,28.75
2010-12-31,33.0,$1.19,27.85
2010-09-30,29.03,$1.09,26.63
2010-06-30,22.54,$0.99,22.89
2010-03-31,22.96,$0.94,24.42
2009-12-31,20.41,$0.89,23.06
