Bionano Genomics PE Ratio Historical Data,Bionano Genomics PE Ratio Historical Data,Bionano Genomics PE Ratio Historical Data,Bionano Genomics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.25,,0.0
2024-09-30,0.45,$-138.92,0.0
2024-06-30,0.68,$-300.60,0.0
2024-03-31,1.11,$-360.48,0.0
2023-12-31,1.89,$-396.41,0.0
2023-09-30,3.03,$-416.77,0.0
2023-06-30,6.1,$-289.82,0.0
2023-03-31,11.1,$-281.44,0.0
2022-12-31,14.6,$-275.45,0.0
2022-09-30,18.3,$-245.51,0.0
2022-06-30,13.8,$-221.56,0.0
2022-03-31,25.8,$-197.60,0.0
2021-12-31,29.9,$-155.69,0.0
2021-09-30,55.0,$-143.71,0.0
2021-06-30,73.3,$-149.70,0.0
2021-03-31,80.8,$-161.68,0.0
2020-12-31,30.8,$-317.37,0.0
2020-09-30,6.5,$-281.44,0.0
2020-06-30,5.1,$-586.83,0.0
2020-03-31,4.55,$-958.08,0.0
2019-12-31,12.4,"$-1,239.52",0.0
2019-09-30,7.2,"$-1,610.78",0.0
2019-06-30,24.5,"$-1,634.73",0.0
