Intrusion PE Ratio Historical Data,Intrusion PE Ratio Historical Data,Intrusion PE Ratio Historical Data,Intrusion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.29,,0.0
2024-12-31,3.08,$-2.18,0.0
2024-09-30,0.86,$-1.91,0.0
2024-06-30,1.1,$-4.36,0.0
2024-03-31,3.0,$-6.83,0.0
2023-12-31,0.25,$-10.29,0.0
2023-09-30,0.35,$-15.20,0.0
2023-06-30,1.22,$-15.40,0.0
2023-03-31,1.17,$-16.60,0.0
2022-12-31,3.16,$-16.40,0.0
2022-09-30,4.82,$-15.40,0.0
2022-06-30,3.91,$-19.20,0.0
2022-03-31,2.48,$-20.60,0.0
2021-12-31,3.44,$-20.80,0.0
2021-09-30,4.06,$-21.40,0.0
2021-06-30,15.41,$-15.60,0.0
2021-03-31,23.37,$-10.80,0.0
