Sportradar Group AG PE Ratio Historical Data,Sportradar Group AG PE Ratio Historical Data,Sportradar Group AG PE Ratio Historical Data,Sportradar Group AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.3,,111.5
2024-09-30,12.11,$0.20,60.55
2024-06-30,11.18,$0.09,124.22
2024-03-31,11.64,$0.09,129.33
2023-12-31,11.05,$0.12,92.08
2023-09-30,10.01,$-0.07,0.0
2023-06-30,12.9,$-0.04,0.0
2023-03-31,11.63,$0.04,290.75
2022-12-31,9.96,$0.05,199.2
2022-09-30,8.8,$0.16,55.0
