Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,75.51,,37.57
2024-12-31,71.91,$2.01,35.78
2024-09-30,71.05,$2.01,35.35
2024-06-30,62.17,$2.01,30.93
2024-03-31,75.89,$2.02,37.57
2023-12-31,63.35,$2.02,31.36
2023-09-30,52.79,$1.99,26.53
2023-06-30,56.65,$1.97,28.76
2023-03-31,51.46,$1.95,26.39
2022-12-31,44.84,$1.90,23.6
2022-09-30,43.34,$1.87,23.18
2022-06-30,46.69,$1.79,26.08
2022-03-31,55.25,$1.71,32.31
2021-12-31,59.26,$1.61,36.81
2021-09-30,47.51,$1.55,30.65
2021-06-30,47.62,$1.51,31.54
2021-03-31,45.8,$1.51,30.33
2020-12-31,44.21,$1.49,29.67
2020-09-30,40.26,$1.46,27.58
2020-06-30,38.05,$1.45,26.24
2020-03-31,27.57,$1.39,19.83
2019-12-31,32.37,$1.38,23.46
2019-09-30,28.46,$1.37,20.85
2019-06-30,28.19,$1.34,21.04
2019-03-31,27.65,$1.35,20.48
2018-12-31,22.32,$1.32,16.97
2018-09-30,24.57,$1.29,19.12
2018-06-30,20.24,$1.19,17.01
2018-03-31,22.79,$1.08,21.1
2017-12-31,22.68,$1.01,22.56
2017-09-30,18.77,$0.94,19.97
2017-06-30,17.79,$0.91,19.55
2017-03-31,20.91,$0.88,23.89
2016-12-31,18.95,$0.87,21.91
2016-09-30,16.72,$0.86,19.44
2016-06-30,17.64,$0.88,20.16
2016-03-31,19.35,$0.89,21.74
2015-12-31,15.99,$0.89,18.07
2015-09-30,14.24,$0.89,16.0
2015-06-30,16.29,$0.88,18.51
2015-03-31,15.9,$0.86,18.48
2014-12-31,18.13,$0.84,21.71
2014-09-30,17.01,$0.80,21.27
2014-06-30,18.65,$0.78,24.06
2014-03-31,18.49,$0.76,24.32
2013-12-31,17.71,$0.76,23.46
2013-09-30,18.65,$0.76,24.7
2013-06-30,16.89,$0.74,22.83
2013-03-31,18.86,$0.73,26.01
2012-12-31,17.11,$0.71,24.09
2012-09-30,15.5,$0.70,22.3
2012-06-30,14.47,$0.68,21.44
2012-03-31,19.35,$0.65,30.0
2011-12-31,15.54,$0.61,25.48
2011-09-30,11.81,$0.57,20.73
2011-06-30,12.73,$0.53,23.9
2011-03-31,11.42,$0.49,23.3
2010-12-31,10.47,$0.45,23.26
2010-09-30,9.22,$0.42,22.22
2010-06-30,8.63,$0.37,23.48
2010-03-31,8.25,$0.32,25.58
2009-12-31,7.09,$0.31,22.87
