Semler Scientific PE Ratio Historical Data,Semler Scientific PE Ratio Historical Data,Semler Scientific PE Ratio Historical Data,Semler Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.82,,7.91
2024-12-31,54.0,$4.91,11.0
2024-09-30,23.55,$2.05,11.49
2024-06-30,34.4,$2.04,16.86
2024-03-31,29.21,$2.79,10.47
2023-12-31,44.29,$2.64,16.78
2023-09-30,25.37,$2.50,10.15
2023-06-30,26.24,$2.25,11.66
2023-03-31,26.8,$2.01,13.33
2022-12-31,33.0,$1.79,18.44
2022-09-30,37.55,$1.56,24.07
2022-06-30,28.18,$1.61,17.5
2022-03-31,49.56,$1.93,25.68
2021-12-31,91.65,$2.12,43.23
2021-09-30,125.03,$2.60,48.09
2021-06-30,1.54,$2.70,0.57
2021-03-31,1.54,$2.00,0.77
2020-12-31,1.54,$1.73,0.89
2020-09-30,1.54,$1.42,1.08
2020-06-30,1.54,$1.77,0.87
2020-03-31,1.54,$1.96,0.79
2019-12-31,1.54,$1.86,0.83
2019-09-30,1.54,$1.68,0.92
2019-06-30,1.54,$0.91,1.69
2019-03-31,1.54,$0.78,1.97
2018-12-31,1.54,$0.65,2.37
2018-09-30,1.54,$0.52,2.96
2018-06-30,1.54,$0.32,4.81
2018-03-31,1.54,$-0.03,0.0
2017-12-31,1.54,$-0.30,0.0
2017-09-30,1.54,$-0.38,0.0
2017-06-30,1.54,$-0.44,0.0
2017-03-31,1.54,$-0.47,0.0
2016-12-31,1.54,$-0.50,0.0
2016-09-30,1.54,$-1.30,0.0
2016-06-30,1.37,$-1.55,0.0
2016-03-31,2.06,$-1.63,0.0
2015-12-31,2.56,$-1.72,0.0
2015-09-30,2.9,$-1.13,0.0
2015-06-30,3.23,$-1.12,0.0
2015-03-31,3.5,$-1.07,0.0
2014-12-31,1.96,$-1.14,0.0
