Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,477.02,,21.14
2025-01-31,476.56,$22.56,21.12
2024-10-31,404.69,$25.60,15.81
2024-07-31,370.67,$29.31,12.65
2024-04-30,388.51,$33.22,11.69
2024-01-31,389.26,$34.34,11.34
2023-10-31,360.03,$34.66,10.39
2023-07-31,421.85,$33.84,12.47
2023-04-30,370.05,$29.80,12.42
2023-01-31,412.65,$26.96,15.31
2022-10-31,385.2,$23.33,16.51
2022-07-31,332.87,$20.01,16.64
2022-04-30,364.83,$19.17,19.03
2022-01-31,362.81,$18.04,20.11
2021-10-31,328.94,$18.99,17.32
2021-07-31,346.43,$17.26,20.07
2021-04-30,354.38,$14.51,24.42
2021-01-31,275.32,$10.94,25.17
2020-10-31,214.75,$8.70,24.68
2020-07-31,167.02,$8.58,19.47
2020-04-30,136.74,$8.82,15.5
2020-01-31,148.69,$10.23,14.53
2019-10-31,162.57,$10.14,16.03
2019-07-31,153.94,$10.29,14.96
2019-04-30,153.21,$10.26,14.93
2019-01-31,150.98,$10.41,14.5
2018-10-31,124.04,$7.21,17.2
2018-07-31,132.0,$6.36,20.75
2018-04-30,122.77,$5.55,22.12
2018-01-31,150.37,$4.37,34.41
2017-10-31,119.61,$6.64,18.01
2017-07-31,114.91,$5.97,19.25
2017-04-30,99.5,$5.55,17.93
2017-01-31,94.91,$4.62,20.54
2016-10-31,77.83,$4.81,16.18
2016-07-31,68.01,$4.99,13.63
2016-04-30,73.07,$4.97,14.7
2016-01-31,66.41,$5.44,12.21
2015-10-31,66.75,$5.76,11.59
2015-07-31,80.28,$6.51,12.33
2015-04-30,76.36,$7.31,10.45
2015-01-31,71.38,$7.93,9.0
2014-10-31,71.2,$8.62,8.26
2014-07-31,70.33,$8.90,7.9
2014-04-30,76.62,$9.13,8.39
2014-01-31,70.16,$9.24,7.59
2013-10-31,66.42,$9.08,7.31
2013-07-31,67.01,$8.72,7.68
2013-04-30,71.59,$8.14,8.79
2013-01-31,74.97,$7.99,9.38
2012-10-31,67.73,$7.64,8.87
2012-07-31,60.56,$7.51,8.06
2012-04-30,64.54,$7.22,8.94
2012-01-31,67.13,$6.73,9.97
2011-10-31,58.83,$6.63,8.87
2011-07-31,60.48,$6.08,9.95
2011-04-30,74.74,$5.83,12.82
2011-01-31,69.42,$4.99,13.91
2010-10-31,58.41,$4.36,13.4
2010-07-31,50.5,$2.76,18.3
2010-04-30,45.07,$2.31,19.51
2010-01-31,37.47,$2.14,17.51
2009-10-31,33.99,$2.05,16.58
