ATI Physical Therapy PE Ratio Historical Data,ATI Physical Therapy PE Ratio Historical Data,ATI Physical Therapy PE Ratio Historical Data,ATI Physical Therapy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-27,2.47,,0.0
2024-12-31,2.47,$-16.42,0.0
2024-09-30,6.1,$-18.57,0.0
2024-06-30,4.47,$-13.61,0.0
2024-03-31,5.58,$-28.92,0.0
2023-12-31,6.14,$-31.81,0.0
2023-09-30,8.86,$-56.16,0.0
2023-06-30,9.15,$-81.74,0.0
2023-03-31,12.71,$-98.50,0.0
2022-12-31,15.25,$-126.00,0.0
2022-09-30,50.0,$-99.50,0.0
2022-06-30,70.5,$-153.50,0.0
2022-03-31,94.0,$-280.00,0.0
2021-12-31,169.5,$-245.00,0.0
2021-09-30,190.0,$-245.00,0.0
