Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,167.55,,26.68
2024-12-31,167.65,$6.28,26.7
2024-09-30,172.19,$5.80,29.69
2024-06-30,162.98,$6.02,27.07
2024-03-31,159.32,$6.12,26.03
2023-12-31,142.99,$5.97,23.95
2023-09-30,141.43,$6.16,22.96
2023-06-30,146.21,$5.90,24.78
2023-03-31,142.39,$5.74,24.81
2022-12-31,144.21,$5.70,25.3
2022-09-30,119.27,$5.77,20.67
2022-06-30,134.97,$5.81,23.23
2022-03-31,142.62,$5.73,24.89
2021-12-31,151.87,$5.66,26.83
2021-09-30,128.98,$5.47,23.58
2021-06-30,123.71,$5.49,22.53
2021-03-31,123.37,$5.43,22.72
2020-12-31,125.99,$5.29,23.82
2020-09-30,125.16,$5.23,23.93
2020-06-30,107.0,$4.96,21.57
2020-03-31,97.79,$1.77,55.25
2019-12-31,110.37,$1.69,65.31
2019-09-30,109.22,$1.50,72.81
2019-06-30,95.66,$1.36,70.34
2019-03-31,90.14,$4.20,21.46
2018-12-31,79.01,$4.11,19.22
2018-09-30,70.91,$3.82,18.56
2018-06-30,65.9,$3.66,18.01
2018-03-31,66.3,$3.76,17.63
2017-12-31,76.25,$3.74,20.39
2017-09-30,74.94,$5.69,13.17
2017-06-30,71.23,$5.59,12.74
2017-03-31,72.87,$5.46,13.35
2016-12-31,67.66,$5.50,12.3
2016-09-30,71.66,$3.74,19.16
2016-06-30,67.08,$3.69,18.18
2016-03-31,64.68,$3.18,20.34
2015-12-31,61.86,$2.96,20.9
2015-09-30,55.54,$2.66,20.88
2015-06-30,59.92,$2.44,24.56
2015-03-31,62.24,$3.15,19.76
2014-12-31,68.7,$3.30,20.82
2014-09-30,62.68,$3.66,17.13
2014-06-30,58.36,$4.01,14.55
2014-03-31,59.38,$3.76,15.79
2013-12-31,59.52,$3.74,15.92
2013-09-30,54.85,$3.95,13.89
2013-06-30,55.45,$3.87,14.33
2013-03-31,55.07,$4.47,12.32
2012-12-31,48.12,$4.41,10.91
2012-09-30,48.77,$3.59,13.59
2012-06-30,42.7,$3.66,11.67
2012-03-31,46.46,$3.26,14.25
2011-12-31,45.75,$3.40,13.46
2011-09-30,42.98,$3.94,10.91
2011-06-30,42.9,$3.93,10.92
2011-03-31,41.23,$3.80,10.85
2010-12-31,42.74,$3.67,11.65
2010-09-30,39.55,$4.05,9.76
2010-06-30,39.24,$4.09,9.59
2010-03-31,41.08,$4.18,9.83
2009-12-31,39.08,$4.19,9.33
