So-Young PE Ratio Historical Data,So-Young PE Ratio Historical Data,So-Young PE Ratio Historical Data,So-Young PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.97,,19.4
2024-09-30,0.94,$0.05,18.8
2024-06-30,1.07,$0.04,26.63
2024-03-31,1.04,$0.02,51.78
2023-12-31,1.23,$0.03,40.85
2023-09-30,0.99,$0.04,24.82
2023-06-30,1.75,$0.02,87.4
2023-03-31,2.04,$-0.02,0.0
2022-12-31,1.23,$-0.10,0.0
2022-09-30,0.68,$-0.18,0.0
2022-06-30,0.81,$-0.17,0.0
2022-03-31,1.88,$-0.05,0.0
2021-12-31,3.03,$-0.01,0.0
2021-09-30,4.05,$0.08,50.59
2021-06-30,9.13,$0.07,130.42
2021-03-31,9.38,$-0.01,0.0
2020-12-31,10.55,0,0.0
2020-09-30,11.87,$0.04,296.64
2020-06-30,12.89,$0.08,161.14
2020-03-31,9.73,$0.11,88.44
