Sono-Tek PE Ratio Historical Data,Sono-Tek PE Ratio Historical Data,Sono-Tek PE Ratio Historical Data,Sono-Tek PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.58,,51.14
2024-11-30,4.74,$0.07,67.76
2024-08-31,4.15,$0.09,46.11
2024-05-31,4.48,$0.10,44.8
2024-02-29,5.4,$0.08,67.5
2023-11-30,4.99,$0.07,71.29
2023-08-31,4.86,$0.04,121.5
2023-05-31,5.49,$0.02,274.5
2023-02-28,5.4,$0.04,135.0
2022-11-30,5.56,$0.08,69.44
2022-08-31,5.63,$0.09,62.5
2022-05-31,6.01,$0.10,60.1
