Deswell Industries PE Ratio Historical Data,Deswell Industries PE Ratio Historical Data,Deswell Industries PE Ratio Historical Data,Deswell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.38,,0.0
2024-09-30,2.39,$-0.07,0.0
2019-09-30,1.87,$-0.09,0.0
2018-09-30,2.36,$-0.24,0.0
2016-03-31,1.03,$-0.31,0.0
2015-12-31,0.85,$-0.24,0.0
2015-09-30,0.9,$-0.29,0.0
2015-06-30,1.02,$-0.25,0.0
2015-03-31,1.02,$-0.18,0.0
2014-12-31,0.96,$-0.37,0.0
2014-09-30,1.16,$-0.39,0.0
2014-06-30,1.07,$-0.36,0.0
2014-03-31,1.05,$-0.47,0.0
2013-12-31,1.11,$-0.40,0.0
2013-09-30,1.19,$-0.32,0.0
2013-06-30,1.18,$-0.23,0.0
2013-03-31,1.18,$-0.12,0.0
2012-12-31,1.1,$-0.04,0.0
2012-09-30,1.24,$-0.02,0.0
2012-06-30,1.16,$-0.09,0.0
2012-03-31,1.02,$-0.09,0.0
2011-12-31,0.89,$-0.09,0.0
2011-09-30,1.04,$-0.32,0.0
2011-06-30,1.18,$-0.36,0.0
2011-03-31,1.19,$-0.50,0.0
2010-12-31,1.29,$-0.52,0.0
2010-09-30,1.15,$-0.33,0.0
2010-06-30,1.44,$-0.03,0.0
2010-03-31,1.62,$0.09,18.03
2009-12-31,1.56,$0.19,8.22
