2seventy Bio PE Ratio Historical Data,2seventy Bio PE Ratio Historical Data,2seventy Bio PE Ratio Historical Data,2seventy Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.95,,0.0
2024-09-30,4.72,$-1.86,0.0
2024-06-30,3.85,$-3.07,0.0
2024-03-31,5.35,$-4.35,0.0
2023-12-31,4.27,$-4.42,0.0
2023-09-30,3.92,$-3.91,0.0
2023-06-30,10.12,$-4.27,0.0
2023-03-31,10.2,$-5.46,0.0
2022-12-31,9.37,$-7.58,0.0
2022-09-30,14.55,$-9.53,0.0
