Onity Group PE Ratio Historical Data,Onity Group PE Ratio Historical Data,Onity Group PE Ratio Historical Data,Onity Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.49,,8.43
2024-12-31,30.71,$4.09,7.51
2024-09-30,31.94,$1.51,21.15
2024-06-30,23.98,$-0.09,0.0
2024-03-31,27.01,$0.53,50.96
2023-12-31,30.76,$-8.55,0.0
2023-09-30,25.88,$-10.83,0.0
2023-06-30,29.97,$-7.71,0.0
2023-03-31,27.12,$-8.55,0.0
2022-12-31,30.58,$2.80,10.92
2022-09-30,23.27,$11.09,2.1
2022-06-30,27.4,$9.21,2.98
2022-03-31,23.76,$6.95,3.42
2021-12-31,39.97,$1.90,21.04
2021-09-30,28.13,$1.27,22.15
2021-06-30,30.98,$-2.11,0.0
2021-03-31,28.43,$-0.66,0.0
2020-12-31,28.91,$-4.47,0.0
2020-09-30,21.12,$0.26,81.39
2020-06-30,9.96,$-3.45,0.0
2020-03-31,7.5,$-13.79,0.0
2019-12-31,20.55,$-15.89,0.0
2019-09-30,28.2,$-20.09,0.0
2019-06-30,31.05,$-19.94,0.0
2019-03-31,27.3,$-13.19,0.0
2018-12-31,20.1,$-7.95,0.0
2018-09-30,59.1,$-12.74,0.0
2018-06-30,59.4,$-8.85,0.0
2018-03-31,61.8,$-10.94,0.0
2017-12-31,46.95,$-15.14,0.0
2017-09-30,51.6,$-11.24,0.0
2017-06-30,40.35,$-9.30,0.0
2017-03-31,82.05,$-14.54,0.0
2016-12-31,80.85,$-24.14,0.0
2016-09-30,55.05,$-49.78,0.0
2016-06-30,25.65,$-58.92,0.0
2016-03-31,37.05,$-47.08,0.0
2015-12-31,104.55,$-29.54,0.0
2015-09-30,100.65,$-74.21,0.0
2015-06-30,153.0,$-74.96,0.0
2015-03-31,123.75,$-68.97,0.0
2014-12-31,226.5,$-64.92,0.0
2014-09-30,392.7,$17.54,22.39
2014-06-30,556.5,$32.83,16.95
2014-03-31,587.7,$33.28,17.66
2013-12-31,831.75,$29.84,27.88
2013-09-30,836.55,$25.94,32.25
2013-06-30,618.3,$24.89,24.84
2013-03-31,568.8,$22.04,25.81
2012-12-31,518.85,$19.49,26.62
2012-09-30,411.15,$13.64,30.14
2012-06-30,281.7,$10.94,25.74
2012-03-31,234.45,$9.90,23.69
2011-12-31,217.2,$10.94,19.85
2011-09-30,198.15,$11.09,17.86
2011-06-30,191.4,$6.90,27.75
2011-03-31,165.3,$5.40,30.63
2010-12-31,143.1,$5.25,27.27
2010-09-30,152.1,$5.25,28.99
2010-06-30,152.85,$-1.05,0.0
2010-03-31,166.35,$0.45,369.91
2009-12-31,143.55,$1.05,136.79
