Sagimet Biosciences PE Ratio Historical Data,Sagimet Biosciences PE Ratio Historical Data,Sagimet Biosciences PE Ratio Historical Data,Sagimet Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.05,,0.0
2024-12-31,4.5,$-0.93,0.0
2024-09-30,2.77,$-0.93,0.0
2024-06-30,3.42,$-0.83,0.0
