Cepton PE Ratio Historical Data,Cepton PE Ratio Historical Data,Cepton PE Ratio Historical Data,Cepton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,3.21,,0.0
2024-09-30,3.12,$-2.39,0.0
2024-03-31,2.78,$-2.56,0.0
2023-12-31,3.14,$-3.03,0.0
2023-09-30,3.8,$-3.51,0.0
2023-06-30,0.49,$-2.86,0.0
2023-03-31,0.46,$-3.06,0.0
2022-12-31,1.27,$-2.06,0.0
2024-06-30,2.69,$2.14,1.26
2022-09-30,1.96,$2.40,0.82
2022-06-30,1.56,$3.50,0.45
2022-03-31,3.88,$3.40,1.14
2021-12-31,9.93,$0.20,49.65
