AstroNova PE Ratio Historical Data,AstroNova PE Ratio Historical Data,AstroNova PE Ratio Historical Data,AstroNova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.07,,20.14
2024-10-31,12.66,$0.50,25.32
2024-07-31,15.82,$0.84,18.83
2024-04-30,17.27,$0.66,26.17
2024-01-31,17.63,$0.62,28.44
2023-10-31,13.58,$0.44,30.86
2023-07-31,14.23,$0.11,129.36
2023-04-30,14.71,$0.41,35.88
2023-01-31,13.25,$0.36,36.81
2022-10-31,11.85,$0.08,148.13
2022-07-31,12.15,$-0.02,0.0
2022-04-30,13.47,$0.86,15.66
2022-01-31,13.74,$0.88,15.61
2021-10-31,16.5,$1.10,15.0
2021-07-31,16.05,$1.16,13.84
2021-04-30,14.66,$0.20,73.3
2021-01-31,10.75,$0.18,59.72
2020-10-31,7.9,$-0.13,0.0
2020-07-31,6.88,$-0.07,0.0
2020-04-30,7.03,$0.06,117.17
2020-01-31,12.34,$0.23,53.64
2019-10-31,15.65,$0.74,21.15
2019-07-31,23.76,$0.88,27.0
2019-04-30,24.52,$0.92,26.65
2019-01-31,19.51,$0.81,24.08
2018-10-31,18.8,$0.58,32.41
2018-07-31,17.55,$0.59,29.75
2018-04-30,17.25,$0.53,32.55
2018-01-31,12.99,$0.48,27.06
2017-10-31,12.06,$0.49,24.62
2017-07-31,13.14,$0.43,30.56
2017-04-30,14.02,$0.49,28.62
2017-01-31,13.07,$0.56,23.34
2016-10-31,13.7,$0.57,24.03
2016-07-31,14.84,$0.60,24.74
2016-04-30,13.34,$0.59,22.61
2016-01-31,14.52,$0.61,23.8
2015-10-31,12.42,$0.57,21.8
2015-07-31,12.66,$0.59,21.46
2015-04-30,12.76,$0.61,20.92
2015-01-31,13.56,$0.59,22.98
2014-10-31,11.98,$0.76,15.76
2014-07-31,12.07,$0.70,17.24
2014-04-30,11.23,$0.61,18.41
2014-01-31,12.14,$0.41,29.62
2013-10-31,11.2,$1.17,9.57
2013-07-31,10.0,$1.21,8.26
2013-04-30,8.61,$1.25,6.89
2013-01-31,8.68,$1.42,6.11
2012-10-31,7.2,$0.53,13.58
2012-07-31,6.92,$0.46,15.05
2012-04-30,7.1,$0.47,15.11
2012-01-31,6.71,$0.42,15.98
2011-10-31,6.59,$0.38,17.34
2011-07-31,6.46,$0.38,17.0
2011-04-30,6.31,$0.28,22.55
2011-01-31,6.3,$0.28,22.52
2010-10-31,5.59,$0.44,12.71
2010-07-31,5.46,$0.42,13.0
2010-04-30,6.01,$0.46,13.06
2010-01-31,5.6,$0.37,15.15
2009-10-31,4.75,$0.18,26.4
