TOMI Environmental Solutions PE Ratio Historical Data,TOMI Environmental Solutions PE Ratio Historical Data,TOMI Environmental Solutions PE Ratio Historical Data,TOMI Environmental Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.83,,0.0
2024-09-30,0.79,$-0.13,0.0
2024-06-30,0.88,$-0.18,0.0
2024-03-31,0.68,$-0.18,0.0
2023-12-31,1.01,$-0.17,0.0
2023-09-30,0.89,$-0.15,0.0
2023-06-30,0.67,$-0.13,0.0
2023-03-31,0.67,$-0.17,0.0
2022-12-31,0.49,$-0.14,0.0
2022-09-30,0.71,$-0.18,0.0
2022-06-30,0.71,$-0.18,0.0
2022-03-31,0.91,$-0.19,0.0
2021-12-31,1.65,$-0.25,0.0
2021-09-30,1.37,$-0.34,0.0
2021-06-30,2.88,$-0.31,0.0
2021-03-31,4.05,$-0.26,0.0
