WW PE Ratio Historical Data,WW PE Ratio Historical Data,WW PE Ratio Historical Data,WW PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.6,,0.0
2024-12-31,1.27,$-4.37,0.0
2024-09-30,0.88,$-5.79,0.0
2024-06-30,1.17,$-4.67,0.0
2024-03-31,1.85,$-4.31,0.0
2023-12-31,8.75,$-1.60,0.0
2023-09-30,11.07,$-0.95,0.0
2023-06-30,6.72,$-4.42,0.0
2023-03-31,4.12,$-5.14,0.0
2022-12-31,3.86,$-3.58,0.0
2022-09-30,3.93,$-2.70,0.0
2022-06-30,6.39,$0.88,7.26
2022-03-31,10.23,$1.07,9.56
2021-12-31,16.13,$0.93,17.34
2021-09-30,18.25,$0.69,26.45
2021-06-30,36.14,$0.82,44.07
2021-03-31,31.28,$0.90,34.76
2020-12-31,24.4,$1.07,22.8
2020-09-30,18.87,$1.31,14.4
2020-06-30,25.38,$1.21,20.98
2020-03-31,16.91,$1.79,9.45
2019-12-31,38.21,$1.72,22.22
2019-09-30,37.82,$1.93,19.6
2019-06-30,19.1,$2.25,8.49
2019-03-31,20.15,$2.48,8.13
2018-12-31,38.55,$3.20,12.05
2018-09-30,71.99,$3.48,20.69
2018-06-30,101.1,$3.13,32.3
2018-03-31,63.72,$2.79,22.84
2017-12-31,44.28,$2.39,18.53
2017-09-30,43.55,$1.68,25.92
2017-06-30,33.42,$1.56,21.42
2017-03-31,15.57,$1.35,11.53
2016-12-31,11.45,$1.02,11.23
2016-09-30,10.32,$0.64,16.13
2016-06-30,11.63,$0.49,23.73
2016-03-31,14.53,$0.52,27.94
2015-12-31,22.8,$0.59,38.64
2015-09-30,6.38,$0.49,13.02
2015-06-30,4.85,$0.78,6.22
2015-03-31,6.99,$1.24,5.64
2014-12-31,24.84,$1.72,14.44
2014-09-30,27.44,$2.54,10.8
2014-06-30,20.17,$2.94,6.86
2014-03-31,20.54,$3.14,6.54
2013-12-31,32.93,$3.63,9.07
2013-09-30,37.37,$4.12,9.07
2013-06-30,45.78,$4.25,10.77
2013-03-31,41.74,$4.46,9.36
2012-12-31,51.68,$4.33,11.94
2012-09-30,51.93,$4.16,12.48
2012-06-30,50.53,$4.05,12.48
2012-03-31,75.2,$3.86,19.48
2011-12-31,53.59,$4.12,13.01
2011-09-30,56.56,$3.92,14.43
2011-06-30,73.06,$3.42,21.36
2011-03-31,67.7,$2.98,22.72
2010-12-31,36.11,$2.56,14.11
2010-09-30,29.9,$2.14,13.97
2010-06-30,24.49,$2.23,10.98
2010-03-31,24.16,$2.26,10.69
2009-12-31,27.41,$2.29,11.97
