Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.87,,286.14
2024-12-31,92.37,$0.37,249.65
2024-09-30,83.14,$0.09,923.81
2024-06-30,67.41,$0.82,82.21
2024-03-31,71.13,$0.36,197.58
2023-12-31,77.86,$4.50,17.3
2023-09-30,71.37,$4.66,15.32
2023-06-30,72.69,$4.35,16.71
2023-03-31,77.51,$4.43,17.5
2022-12-31,79.46,$3.65,21.77
2022-09-30,56.63,$2.65,21.37
2022-06-30,56.11,$3.28,17.11
2022-03-31,53.29,$3.58,14.89
2021-12-31,64.28,$4.93,13.04
2021-09-30,61.22,$5.86,10.45
2021-06-30,59.75,$4.10,14.57
2021-03-31,55.51,$0.23,241.33
2020-12-31,49.46,$0.08,618.3
2020-09-30,53.05,$0.97,54.69
2020-06-30,63.93,$-0.24,0.0
2020-03-31,61.55,$3.89,15.82
2019-12-31,52.97,$4.21,12.58
2019-09-30,51.19,$2.09,24.49
2019-06-30,54.05,$4.61,11.73
2019-03-31,51.53,$4.53,11.37
2018-12-31,49.1,$4.16,11.8
2018-09-30,60.1,$1.20,50.08
2018-06-30,54.72,$1.66,32.96
2018-03-31,57.77,$2.60,22.22
2017-12-31,54.51,$3.48,15.66
2017-09-30,61.22,$8.78,6.97
2017-06-30,53.14,$9.21,5.77
2017-03-31,50.59,$9.46,5.35
2016-12-31,52.93,$9.94,5.33
2016-09-30,58.12,$10.78,5.39
2016-06-30,60.91,$11.35,5.37
2016-03-31,66.7,$11.69,5.71
2015-12-31,73.13,$11.92,6.13
2015-09-30,70.48,$10.92,6.45
2015-06-30,83.92,$9.53,8.81
2015-03-31,70.08,$8.81,7.95
2014-12-31,67.32,$7.38,9.12
2014-09-30,76.02,$5.67,13.41
2014-06-30,59.21,$4.47,13.25
2014-03-31,50.6,$2.73,18.54
2013-12-31,53.63,$1.83,29.31
2013-09-30,44.9,$1.83,24.53
2013-06-30,36.61,$1.79,20.51
2013-03-31,34.95,$1.79,19.58
2012-12-31,26.23,$1.65,15.94
2012-09-30,23.68,$1.61,14.71
2012-06-30,18.31,$1.66,11.03
2012-03-31,17.45,$1.67,10.48
2011-12-31,14.62,$1.78,8.23
2011-09-30,13.85,$1.72,8.05
2011-06-30,14.79,$1.66,8.91
2011-03-31,15.16,$1.59,9.54
2010-12-31,12.94,$1.65,7.84
2010-09-30,12.72,$1.71,7.46
2010-06-30,12.24,$1.65,7.42
2010-03-31,16.24,$1.56,10.41
2009-12-31,15.45,$1.42,10.92
