Microbot Medical PE Ratio Historical Data,Microbot Medical PE Ratio Historical Data,Microbot Medical PE Ratio Historical Data,Microbot Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.66,,0.0
2024-09-30,0.89,$-0.80,0.0
2024-06-30,1.02,$-0.81,0.0
2024-03-31,1.23,$-0.89,0.0
2023-12-31,1.64,$-1.08,0.0
2023-09-30,1.39,$-1.20,0.0
2023-06-30,2.72,$-1.48,0.0
2023-03-31,2.08,$-1.72,0.0
2022-12-31,3.01,$-1.81,0.0
2022-09-30,4.78,$-1.97,0.0
2022-06-30,5.13,$-1.84,0.0
2022-03-31,6.27,$-1.70,0.0
2021-12-31,7.5,$-1.59,0.0
2021-09-30,7.03,$-1.42,0.0
2021-06-30,7.94,$-1.41,0.0
2021-03-31,8.51,$-1.32,0.0
2020-12-31,6.89,$-1.29,0.0
2020-09-30,7.64,$-1.35,0.0
2020-06-30,6.91,$-1.44,0.0
2020-03-31,5.55,$-1.54,0.0
2019-12-31,10.17,$-1.71,0.0
2019-09-30,5.3,$-2.00,0.0
2019-06-30,5.15,$-2.15,0.0
2019-03-31,7.75,$-2.39,0.0
2018-12-31,1.72,$-2.36,0.0
2018-09-30,7.52,$-1.64,0.0
2018-06-30,11.1,$-1.05,0.0
2018-03-31,10.13,$-2.25,0.0
2017-12-31,15.3,$-2.40,0.0
2017-09-30,17.55,$-2.40,0.0
2017-06-30,21.3,$-2.40,0.0
2017-03-31,87.15,$29.09,3.0
2016-12-31,91.5,$-102.56,0.0
2016-09-30,183.6,$-232.16,0.0
2016-06-30,54.32,$-377.96,0.0
2016-03-31,422.17,$-553.45,0.0
2015-12-31,674.73,$-648.00,0.0
2015-09-30,649.13,$-761.40,0.0
2015-06-30,875.61,$-680.40,0.0
2015-03-31,1652.4,$-891.00,0.0
2014-12-31,1521.18,$-891.00,0.0
2014-09-30,2041.2,$-858.60,0.0
2014-06-30,3288.6,"$-1,069.20",0.0
2014-03-31,2170.8,$-955.80,0.0
2013-12-31,1992.6,"$-1,004.40",0.0
2013-09-30,2721.6,$-907.20,0.0
2013-06-30,2673.0,"$-1,506.60",0.0
2013-03-31,2802.6,"$-1,215.00",0.0
2012-12-31,2640.6,"$-1,668.60",0.0
2012-09-30,3337.2,"$-2,316.60",0.0
2012-06-30,1312.2,"$-1,944.00",0.0
2012-03-31,1798.2,"$-2,462.40",0.0
2011-12-31,1334.88,"$-2,381.40",0.0
2011-09-30,3272.4,"$-2,754.00",0.0
2011-06-30,8586.01,"$-2,899.80",0.0
2011-03-31,14742.01,"$-3,078.00",0.0
2010-12-31,17496.02,"$-3,240.00",0.0
2010-09-30,13446.01,"$-2,916.00",0.0
2010-06-30,15228.01,"$-3,078.00",0.0
2010-03-31,18792.02,"$-3,564.00",0.0
2009-12-31,20412.02,"$-4,374.00",0.0
