Western Copper And Gold PE Ratio Historical Data,Western Copper And Gold PE Ratio Historical Data,Western Copper And Gold PE Ratio Historical Data,Western Copper And Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.2,$-0.02,0.0
2024-06-30,1.15,$-0.03,0.0
2024-03-31,1.53,$-0.03,0.0
2023-12-31,1.33,$-0.03,0.0
2023-09-30,1.37,$-0.04,0.0
2023-06-30,1.53,$-0.03,0.0
2023-03-31,1.83,$-0.03,0.0
2022-12-31,1.78,$-0.03,0.0
2022-09-30,1.27,$-0.02,0.0
2022-06-30,1.34,$-0.03,0.0
2022-03-31,2.35,$-0.03,0.0
2021-12-31,1.56,$-0.03,0.0
2021-09-30,1.49,$-0.03,0.0
2021-06-30,2.0,$-0.02,0.0
2021-03-31,1.26,$-0.01,0.0
2020-12-31,1.23,$-0.01,0.0
2020-09-30,1.21,$-0.01,0.0
2020-06-30,0.87,$-0.02,0.0
2020-03-31,0.39,$-0.03,0.0
2019-12-31,0.82,$-0.03,0.0
2019-09-30,0.64,$-0.04,0.0
2019-06-30,0.66,$-0.04,0.0
2019-03-31,0.56,$-0.04,0.0
2018-12-31,0.45,$-0.04,0.0
2018-09-30,0.68,$-0.04,0.0
2018-06-30,0.84,$-0.04,0.0
2018-03-31,0.79,$-0.04,0.0
2017-12-31,1.01,$-0.04,0.0
2017-09-30,1.16,$-0.04,0.0
2017-06-30,1.02,$-0.04,0.0
2017-03-31,1.31,$-0.03,0.0
2016-12-31,1.38,$-0.03,0.0
2016-09-30,0.84,$-0.02,0.0
2016-06-30,0.85,$-0.02,0.0
2016-03-31,0.56,$-0.03,0.0
2015-12-31,0.27,$-0.02,0.0
2015-09-30,0.3,$-0.03,0.0
2015-06-30,0.44,$-0.02,0.0
2015-03-31,0.45,$-0.02,0.0
2014-12-31,0.58,$-0.02,0.0
2014-09-30,0.58,$-0.01,0.0
2014-06-30,0.77,$-0.02,0.0
2014-03-31,0.97,$-0.01,0.0
2013-12-31,0.7,$-0.01,0.0
2013-09-30,0.69,$-0.02,0.0
2013-06-30,0.51,0,0.0
2013-03-31,0.87,$0.01,86.99
2012-12-31,1.42,0,0.0
2012-09-30,0.69,$-0.20,0.0
2012-06-30,0.75,$-0.23,0.0
2012-03-31,1.43,$-0.25,0.0
2011-12-31,1.54,$-0.25,0.0
2011-09-30,2.12,$-0.05,0.0
2011-06-30,3.2,$-0.04,0.0
2011-03-31,3.3,$-0.04,0.0
2010-12-31,2.69,$-0.04,0.0
2010-09-30,1.37,$-0.03,0.0
2010-06-30,0.81,$-0.03,0.0
2010-03-31,1.88,$-0.03,0.0
2009-12-31,1.53,$-0.03,0.0
