Enterprise Bancorp Inc PE Ratio Historical Data,Enterprise Bancorp Inc PE Ratio Historical Data,Enterprise Bancorp Inc PE Ratio Historical Data,Enterprise Bancorp Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.19,,12.56
2024-12-31,39.54,$3.12,12.67
2024-09-30,31.75,$2.90,10.95
2024-06-30,24.5,$2.89,8.48
2024-03-31,25.33,$2.91,8.71
2023-12-31,31.2,$3.10,10.06
2023-09-30,26.25,$3.47,7.56
2023-06-30,27.54,$3.66,7.52
2023-03-31,29.68,$3.54,8.39
2022-12-31,33.1,$3.51,9.43
2022-09-30,27.86,$3.40,8.19
2022-06-30,29.8,$3.23,9.23
2022-03-31,36.91,$3.48,10.61
2021-12-31,41.12,$3.49,11.78
2021-09-30,32.76,$3.41,9.61
2021-06-30,29.69,$3.47,8.55
2021-03-31,29.32,$3.16,9.28
2020-12-31,22.88,$2.64,8.67
2020-09-30,18.69,$2.56,7.3
2020-06-30,21.02,$2.45,8.58
2020-03-31,23.63,$2.50,9.45
2019-12-31,29.48,$2.90,10.17
2019-09-30,25.97,$2.71,9.58
2019-06-30,27.46,$2.63,10.44
2019-03-31,24.75,$2.61,9.48
2018-12-31,27.57,$2.45,11.25
2018-09-30,29.34,$2.13,13.78
2018-06-30,34.36,$1.92,17.89
2018-03-31,29.87,$1.76,16.97
2017-12-31,28.69,$1.66,17.28
2017-09-30,30.48,$1.86,16.38
2017-06-30,29.7,$1.80,16.5
2017-03-31,28.93,$1.77,16.35
2016-12-31,31.13,$1.70,18.31
2016-09-30,23.1,$1.72,13.43
2016-06-30,19.68,$1.72,11.44
2016-03-31,21.41,$1.61,13.3
2015-12-31,18.53,$1.55,11.96
2015-09-30,16.92,$1.49,11.36
2015-06-30,18.8,$1.45,12.97
2015-03-31,16.95,$1.43,11.85
2014-12-31,20.02,$1.43,14.0
2014-09-30,14.86,$1.39,10.69
2014-06-30,16.18,$1.37,11.81
2014-03-31,15.84,$1.36,11.65
2013-12-31,16.39,$1.36,12.05
2013-09-30,14.55,$1.34,10.86
2013-06-30,14.14,$1.31,10.8
2013-03-31,12.87,$1.30,9.9
2012-12-31,12.46,$1.28,9.73
2012-09-30,12.8,$1.25,10.24
2012-06-30,12.2,$1.24,9.84
2012-03-31,12.15,$1.22,9.96
2011-12-31,10.5,$1.15,9.13
2011-09-30,8.99,$1.11,8.1
2011-06-30,10.91,$1.10,9.92
2011-03-31,10.72,$1.10,9.75
2010-12-31,9.72,$1.16,8.38
2010-09-30,7.71,$1.22,6.32
2010-06-30,7.37,$1.20,6.14
2010-03-31,8.5,$1.09,7.8
2009-12-31,7.55,$0.96,7.87
