Great Lakes Dredge & Dock PE Ratio Historical Data,Great Lakes Dredge & Dock PE Ratio Historical Data,Great Lakes Dredge & Dock PE Ratio Historical Data,Great Lakes Dredge & Dock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.33,,11.11
2024-12-31,11.29,$0.84,13.44
2024-09-30,10.53,$0.87,12.1
2024-06-30,8.78,$0.65,13.51
2024-03-31,8.75,$0.57,15.35
2023-12-31,7.68,$0.21,36.57
2023-09-30,7.97,$-0.58,0.0
2023-06-30,8.16,$-0.64,0.0
2023-03-31,5.43,$-0.73,0.0
2022-12-31,5.95,$-0.51,0.0
2022-09-30,7.58,$0.33,22.97
2022-06-30,13.11,$0.69,19.0
2022-03-31,14.03,$0.78,17.99
2021-12-31,15.72,$0.74,21.24
2021-09-30,15.09,$0.53,28.47
2021-06-30,14.61,$0.51,28.65
2021-03-31,14.58,$0.62,23.52
2020-12-31,13.17,$1.01,13.04
2020-09-30,9.51,$1.10,8.65
2020-06-30,9.26,$1.03,8.99
2020-03-31,8.3,$1.02,8.14
2019-12-31,11.33,$0.77,14.71
2019-09-30,10.45,$0.40,26.13
2019-06-30,11.04,$0.46,24.0
2019-03-31,8.91,$0.31,28.74
2018-12-31,6.62,$-0.11,0.0
2018-09-30,6.2,$-0.13,0.0
2018-06-30,5.25,$-0.39,0.0
2018-03-31,4.6,$-0.39,0.0
2017-12-31,5.4,$-0.51,0.0
2017-09-30,4.85,$-0.48,0.0
2017-06-30,4.3,$-0.32,0.0
2017-03-31,4.0,$-0.33,0.0
2016-12-31,4.2,$-0.13,0.0
2016-09-30,3.5,$-0.03,0.0
2016-06-30,4.36,$-0.11,0.0
2016-03-31,4.46,$-0.03,0.0
2015-12-31,3.96,$-0.10,0.0
2015-09-30,5.04,$0.22,22.91
2015-06-30,5.96,$0.19,31.37
2015-03-31,6.01,$0.12,50.08
2014-12-31,8.56,$0.17,50.35
2014-09-30,6.18,$-0.32,0.0
2014-06-30,7.99,$-0.27,0.0
2014-03-31,9.13,$0.17,53.71
2013-12-31,9.2,$0.27,34.07
2013-09-30,7.43,$0.46,16.15
2013-06-30,7.82,$0.40,19.55
2013-03-31,6.73,$0.05,134.6
2012-12-31,8.93,$0.06,148.83
2012-09-30,7.49,$0.17,44.05
2012-06-30,6.9,$0.30,23.02
2012-03-31,6.98,$0.26,26.84
2011-12-31,5.36,$0.28,19.14
2011-09-30,3.91,$0.27,14.48
2011-06-30,5.34,$0.31,17.21
2011-03-31,7.27,$0.46,15.8
2010-12-31,7.01,$0.58,12.08
2010-09-30,5.51,$0.49,11.25
2010-06-30,5.67,$0.39,14.54
2010-03-31,4.95,$0.34,14.55
2009-12-31,6.08,$0.31,19.62
