Century Casinos PE Ratio Historical Data,Century Casinos PE Ratio Historical Data,Century Casinos PE Ratio Historical Data,Century Casinos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.84,,0.0
2024-12-31,3.24,$-2.07,0.0
2024-09-30,2.56,$-2.43,0.0
2024-06-30,2.77,$-2.64,0.0
2024-03-31,3.16,$-1.34,0.0
2023-12-31,4.88,$-0.93,0.0
2023-09-30,5.13,$-0.71,0.0
2023-06-30,7.1,$-0.15,0.0
2023-03-31,7.33,$0.19,38.58
2022-12-31,7.03,$0.24,29.29
2022-09-30,6.56,$0.51,12.86
2022-06-30,7.2,$0.78,9.23
2022-03-31,11.95,$0.72,16.6
2021-12-31,12.18,$0.66,18.45
2021-09-30,13.47,$0.75,17.96
2021-06-30,13.43,$0.52,25.83
2021-03-31,10.27,$-0.13,0.0
2020-12-31,6.39,$-1.63,0.0
2020-09-30,5.48,$-2.53,0.0
2020-06-30,4.15,$-2.64,0.0
2020-03-31,2.41,$-2.23,0.0
2019-12-31,7.92,$-0.64,0.0
2019-09-30,7.73,$0.06,128.83
2019-06-30,9.7,$0.09,107.78
2019-03-31,9.06,$0.12,75.5
2018-12-31,7.39,$0.11,67.18
2018-09-30,7.46,$-0.10,0.0
2018-06-30,8.75,$0.16,54.69
2018-03-31,7.46,$0.22,33.91
2017-12-31,9.13,$0.28,32.61
2017-09-30,8.21,$0.58,14.16
2017-06-30,7.37,$0.35,21.06
2017-03-31,7.56,$0.37,20.43
2016-12-31,8.23,$0.36,22.86
2016-09-30,6.91,$0.28,24.68
2016-06-30,6.23,$0.31,20.1
2016-03-31,6.16,$0.49,12.57
2015-12-31,7.78,$0.49,15.88
2015-09-30,6.15,$0.45,13.67
2015-06-30,6.3,$0.37,17.03
2015-03-31,5.45,$0.11,49.55
2014-12-31,5.05,$0.05,101.0
2014-09-30,5.13,$0.05,102.6
2014-06-30,5.79,$0.06,96.5
2014-03-31,7.17,$0.20,35.85
2013-12-31,5.21,$0.25,20.84
2013-09-30,5.72,$0.29,19.72
2013-06-30,3.46,$0.30,11.53
2013-03-31,2.86,$0.20,14.3
2012-12-31,2.84,$0.18,15.78
2012-09-30,2.65,$0.18,14.72
2012-06-30,2.72,$0.19,14.32
2012-03-31,2.87,$0.17,16.88
2011-12-31,2.53,$0.14,18.07
2011-09-30,2.62,$0.14,18.71
2011-06-30,2.78,$0.09,30.89
2011-03-31,2.98,$0.05,59.6
2010-12-31,2.44,$0.04,61.0
2010-09-30,2.06,$-0.31,0.0
2010-06-30,2.14,$-0.35,0.0
2010-03-31,2.5,$0.46,5.43
2009-12-31,2.69,$0.46,5.85
